Date,AMZN,AAPL
2015-11-06,32.968498,27.448889
2015-11-09,32.774502000000005,27.337790000000002
2015-11-10,32.984001,26.476179
2015-11-11,33.662498,26.326534000000002
2015-11-12,33.279999,26.238102
2015-11-13,32.1175,25.471726999999998
2015-11-16,32.390499,25.888929
2015-11-17,32.165001000000004,25.777832
2015-11-18,33.176998,26.594085999999997
2015-11-19,33.063499,26.931921000000003
2015-11-20,33.422501000000004,27.049823999999997
2015-11-23,33.949501,26.698381
2015-11-24,33.557499,26.954590000000003
2015-11-25,33.766998,26.761871000000003
2015-11-27,33.662997999999995,26.711985
2015-11-30,33.240002000000004,26.823092
2015-12-01,33.952999,26.605421000000003
2015-12-02,33.800499,26.36508
2015-12-03,33.3125,26.120205
2015-12-04,33.632,26.988605
2015-12-07,33.491501,26.818554
2015-12-08,33.866501,26.807219
2015-12-09,33.239498,26.215431
2015-12-10,33.116001000000004,26.340137
2015-12-11,32.0075,25.662188
2015-12-14,32.8955,25.503479000000002
2015-12-15,32.931999,25.052265
2015-12-16,33.788502,25.244997
2015-12-17,33.532501,24.709894
2015-12-18,33.207001,24.041019
2015-12-21,33.225497999999995,24.335775
2015-12-22,33.157501,24.313102999999998
2015-12-23,33.185001,24.625998000000003
2015-12-24,33.1395,24.49449
2015-12-28,33.759997999999996,24.220139
2015-12-29,34.698502000000005,24.655479
2015-12-30,34.453499,24.333515
2015-12-31,33.794498,23.866426
2016-01-04,31.849501,23.886835
2016-01-05,31.689501,23.288246
2016-01-06,31.6325,22.832501999999998
2016-01-07,30.396998999999997,21.868868
2016-01-08,30.352501,21.984503
2016-01-11,30.886999,22.340481
2016-01-12,30.894501,22.664719
2016-01-13,29.0905,22.081997
2016-01-14,29.65,22.564954999999998
2016-01-15,28.509001,22.023042999999998
2016-01-19,28.724001,21.916489000000002
2016-01-20,28.588499,21.945959
2016-01-21,28.750999,21.834857999999997
2016-01-22,29.819,22.995758
2016-01-25,29.8265,22.546816
2016-01-26,30.0625,22.671518
2016-01-27,29.1675,21.181852
2016-01-28,31.7675,21.333757000000002
2016-01-29,29.35,22.070662
2016-02-01,28.740499,21.86433
2016-02-02,27.605,21.422195000000002
2016-02-03,26.553499,21.846195
2016-02-04,26.813,22.021729
2016-02-05,25.106501,21.433567
2016-02-08,24.405001000000002,21.65926
2016-02-09,24.1035,21.654695999999998
2016-02-10,24.524,21.490562
2016-02-11,25.191,21.36062
2016-02-12,25.354,21.426729
2016-02-16,26.055,22.030848000000002
2016-02-17,26.705,22.36824
2016-02-18,26.25,21.944225
2016-02-19,26.745001000000002,21.894064
2016-02-22,27.975,22.08556
2016-02-23,27.646998999999997,21.586304000000002
2016-02-24,27.702,21.907743
2016-02-25,27.7575,22.058207
2016-02-26,27.761499,22.092398
2016-02-29,27.625999,22.042248
2016-03-01,28.952,22.917641
2016-03-02,29.0105,22.967798000000002
2016-03-03,28.8745,23.138776999999997
2016-03-04,28.757,23.483002
2016-03-07,28.139999,23.223116
2016-03-08,28.013,23.031624
2016-03-09,27.973499,23.052151000000002
2016-03-10,27.946501,23.063543
2016-03-11,28.480499,23.312027
2016-03-14,28.668501000000003,23.3713
2016-03-15,28.851,23.840916
2016-03-16,28.713499,24.157784
2016-03-17,27.972,24.119038
2016-03-18,27.604,24.146387
2016-03-21,27.698999,24.144112
2016-03-22,28.024,24.328764000000003
2016-03-23,28.481501,24.194264999999998
2016-03-24,29.147499,24.089394
2016-03-28,28.9935,23.979982
2016-03-29,29.693001000000002,24.547615
2016-03-30,29.9345,24.976194
2016-03-31,29.681998999999998,24.84626
2016-04-01,29.924999,25.074219
2016-04-04,29.6595,25.331823
2016-04-05,29.306998999999998,25.033184
2016-04-06,30.104,25.295354999999997
2016-04-07,29.571501,24.74367
2016-04-08,29.73,24.771025
2016-04-11,29.796499,24.853089999999998
2016-04-12,30.158501,25.176809
2016-04-13,30.740999,25.541557
2016-04-14,31.0375,25.555235
2016-04-15,31.2945,25.042310999999998
2016-04-18,31.7675,24.502022
2016-04-19,31.395,24.372078
2016-04-20,31.6495,24.422234
2016-04-21,31.549999,24.157784
2016-04-22,31.025,24.091681
2016-04-25,31.309998999999998,23.954893
2016-04-26,30.844,23.788477
2016-04-27,30.328501,22.29985
2016-04-28,30.1,21.618226999999997
2016-04-29,32.9795,21.36974
2016-05-02,34.192501,21.346933
2016-05-03,33.566002000000005,21.698010999999997
2016-05-04,33.544998,21.472326000000002
2016-05-05,32.954498,21.385172
2016-05-06,33.697497999999996,21.265903
2016-05-09,33.987499,21.28196
2016-05-10,35.1535,21.426458
2016-05-11,35.661499,21.217739
2016-05-12,35.8965,20.720032
2016-05-13,35.495998,20.761322
2016-05-16,35.533001,21.531958
2016-05-17,34.7635,21.442507
2016-05-18,34.872501,21.687923
2016-05-19,34.925999,21.60535
2016-05-20,35.139998999999996,21.839292999999998
2016-05-23,34.837502,22.116812
2016-05-24,35.209998999999996,22.453968
2016-05-25,35.4175,22.848459
2016-05-26,35.745499,23.029654
