0,mag,lat,lon,rad,ago
2020-12-31 06:11:48.164,4.6,-36.9495,77.5021,10.0,45
2020-12-31 06:38:30.623,4.5,-2.8017,128.7466,10.0,45
2020-12-31 13:18:54.508,5.1,-8.7445,122.2829,130.13,45
2020-12-31 13:49:04.647,4.9,0.3787,97.7228,26.07,45
2020-12-31 14:52:07.992,4.7,-22.8207,-179.2281,553.39,45
2020-12-31 17:44:24.902,4.5,-17.5378,-178.4731,537.94,45
2020-12-31 18:04:07.478,4.6,-24.0302,-179.7345,520.94,45
2020-12-31 18:33:40.693,4.6,-14.2331,-13.7432,10.0,45
2020-12-31 19:45:03.971,4.5,-5.0526,144.612,108.94,45
2020-12-31 19:53:35.980,4.9,34.4191,139.2766,15.48,45
2020-12-31 22:50:17.366,5.2,-0.7969,146.8416,10.0,45
2021-01-01 02:12:35.050,4.8,-9.1109,118.9156,85.73,46
2021-01-01 03:40:35.586,5.3,-52.2909,-4.7622,10.0,46
2021-01-01 04:20:09.649,5.0,-31.3191,-177.9341,10.0,46
2021-01-01 06:20:58.539,4.6,-29.0885,-178.4847,226.19,46
2021-01-01 06:46:52.529,4.5,-23.0784,172.6015,10.0,46
2021-01-01 07:05:17.129,4.5,-0.1874,124.442,61.99,46
2021-01-01 09:25:32.573,4.5,-29.5276,-176.5878,10.0,46
2021-01-01 13:04:37.590,4.5,-31.0417,-177.1883,10.72,46
2021-01-01 22:33:30.299,4.5,-23.501,-68.7724,111.58,46
2021-01-01 23:24:36.402,4.5,37.024,94.6733,16.47,46
2021-01-02 01:11:31.133,4.8,13.3252,-90.8461,35.0,47
2021-01-02 03:45:00.272,4.6,33.4333,141.4589,10.0,47
2021-01-02 03:45:42.538,4.6,-15.347,-172.838,10.0,47
2021-01-02 04:05:51.643,5.1,42.0975,48.0137,10.0,47
2021-01-02 09:33:22.026,4.6,-4.4028,138.204,150.65,47
2021-01-02 11:34:21.366,5.1,-5.839,153.0949,32.75,47
2021-01-02 11:40:21.557,4.5,-23.4957,-68.8815,96.06,47
2021-01-02 12:23:36.873,5.1,-52.9976,20.94,10.0,47
2021-01-02 12:26:47.058,4.5,-19.0393,167.6144,10.0,47
2021-01-02 12:34:13.621,4.5,-18.963,167.6305,10.0,47
2021-01-02 12:52:38.813,4.5,-52.7852,21.1438,10.0,47
2021-01-02 13:03:17.867,4.7,-52.7071,21.3616,10.0,47
2021-01-02 14:15:48.996,4.5,-17.8249,-178.3677,552.92,47
2021-01-02 14:50:00.313,4.5,-27.7994,-176.0976,10.0,47
2021-01-02 14:57:41.889,4.5,-52.7006,20.4829,10.0,47
2021-01-02 15:09:06.932,4.5,-52.8755,21.1971,10.0,47
2021-01-02 16:02:49.492,4.5,37.4846,71.8981,115.29,47
2021-01-02 16:26:45.622,4.5,24.0258,122.3071,16.44,47
2021-01-02 19:36:34.993,4.7,-5.0194,153.0745,43.72,47
2021-01-02 21:45:28.711,4.5,14.5873,56.2762,10.0,47
2021-01-02 23:35:57.693,5.3,4.3285,138.0206,13.45,48
2021-01-03 02:21:18.144,5.2,-62.3706,-58.3091,10.0,48
