Date,Open,High,Low,Close,Volume,Adj Close
2007-09-10 00:00:00,97.46,97.49,95.85,96.45,5329400,96.09
2007-09-07 00:00:00,97.67,98.18,96.69,96.97,8891600,96.6
2007-09-06 00:00:00,100.53,100.53,98.85,99.3,3043000,98.92
2007-09-05 00:00:00,99.8,99.99,98.23,99.35,14305100,98.97
2007-09-04 00:00:00,101.2,101.6,100.64,100.95,8811500,100.57
2007-08-31 00:00:00,100.81,102.75,100.48,101.95,5141600,101.56
2007-08-30 00:00:00,99.0,100.55,99.0,99.94,3736200,99.56
2007-08-29 00:00:00,98.02,100.6,97.87,100.55,5920300,100.17
2007-08-28 00:00:00,98.81,98.86,97.15,97.32,5753500,96.95
2007-08-27 00:00:00,99.71,100.32,98.88,99.25,2994500,98.77
2007-08-24 00:00:00,98.58,99.95,98.58,99.7,3340600,99.22
2007-08-23 00:00:00,99.41,99.56,98.08,98.35,2734500,97.88
2007-08-22 00:00:00,99.06,99.64,98.54,99.6,6158300,99.12
2007-08-21 00:00:00,97.15,98.31,96.69,98.07,3156500,97.6
2007-08-20 00:00:00,97.99,97.99,96.44,97.04,3788600,96.57
2007-08-17 00:00:00,98.61,98.89,95.76,97.05,8262800,96.58
2007-08-16 00:00:00,94.33,96.42,93.0,95.93,7493100,95.47
2007-08-15 00:00:00,96.16,97.37,94.71,94.95,7290300,94.45
2007-08-14 00:00:00,98.6,99.75,96.11,96.41,9078500,95.83
2007-08-13 00:00:00,101.1,101.3,99.54,99.75,4206000,99.15
2007-08-10 00:00:00,98.97,100.76,97.78,100.2,6656800,99.58
2007-08-09 00:00:00,100.79,101.87,99.6,99.6,6912100,98.99
2007-08-08 00:00:00,102.33,103.25,101.05,103.2,9234700,102.56
2007-08-07 00:00:00,100.27,101.95,99.88,101.51,8056100,100.88
2007-08-06 00:00:00,99.2,101.21,97.51,101.15,7418300,100.52
2007-08-03 00:00:00,101.69,101.71,98.14,98.58,6500500,97.96
2007-08-02 00:00:00,101.08,102.15,100.47,101.69,5770600,101.05
2007-08-01 00:00:00,99.6,101.27,99.07,100.68,7723400,100.05
2007-07-31 00:00:00,102.45,102.77,99.9,99.9,5684300,99.27
2007-07-30 00:00:00,100.81,101.99,100.41,101.57,3891700,100.93
2007-07-27 00:00:00,101.0,102.07,99.1,100.8,6641200,100.17
2007-07-26 00:00:00,103.34,103.58,100.86,102.0,8106100,101.36
2007-07-25 00:00:00,105.04,105.22,103.43,104.17,4407300,103.52
2007-07-24 00:00:00,104.74,105.59,103.17,103.48,6722900,102.82
2007-07-23 00:00:00,106.07,106.24,105.17,105.24,3042500,104.57
2007-07-20 00:00:00,106.47,106.58,105.37,105.68,4270300,105.01
2007-07-19 00:00:00,106.65,107.07,106.42,106.76,2286800,106.08
2007-07-18 00:00:00,107.37,108.07,106.29,106.78,4916100,106.09
2007-07-17 00:00:00,107.09,107.22,106.34,106.52,2824300,105.81
2007-07-16 00:00:00,107.77,107.87,107.19,107.5,2898400,106.78
2007-07-13 00:00:00,107.43,108.31,107.17,108.18,3451400,107.46
2007-07-12 00:00:00,106.71,107.83,106.34,107.65,6500800,106.93
2007-07-11 00:00:00,104.94,105.6,104.56,105.44,5105200,104.74
2007-07-10 00:00:00,106.02,106.35,105.02,105.07,4731700,104.37
2007-07-09 00:00:00,107.25,107.39,106.59,107.08,1824700,106.37
2007-07-06 00:00:00,105.51,107.36,105.11,107.35,4992800,106.64
2007-07-05 00:00:00,105.0,105.65,104.96,105.65,2311700,104.93
2007-07-03 00:00:00,105.45,105.59,104.66,105.14,3180500,104.42
2007-07-02 00:00:00,104.75,105.55,104.75,105.42,1489800,104.7
2007-06-29 00:00:00,105.05,105.68,104.24,104.58,2690500,103.86
2007-06-28 00:00:00,105.15,105.69,104.8,104.94,4455500,104.22
2007-06-27 00:00:00,103.7,105.33,103.5,105.25,3134200,104.53
2007-06-26 00:00:00,104.8,105.0,103.75,103.85,4734600,103.13
2007-06-25 00:00:00,105.52,105.88,104.53,104.91,3545600,104.18
2007-06-22 00:00:00,105.9,106.07,105.3,105.36,2141000,104.63
2007-06-21 00:00:00,105.47,106.05,104.6,106.01,3615200,105.28
2007-06-20 00:00:00,106.17,107.02,105.29,105.52,5555500,104.79
2007-06-19 00:00:00,105.28,105.28,104.65,105.04,2482900,104.31
2007-06-18 00:00:00,105.9,106.0,105.46,105.59,2401400,104.86
2007-06-15 00:00:00,106.89,106.93,105.72,105.9,2654600,105.17
2007-06-14 00:00:00,105.47,105.8,105.1,105.61,2030800,104.88
2007-06-13 00:00:00,104.71,105.41,104.41,105.3,1890000,104.57
2007-06-12 00:00:00,105.3,105.3,104.07,104.07,2731400,103.34
2007-06-11 00:00:00,105.9,105.97,105.15,105.53,1249900,104.78
2007-06-08 00:00:00,104.98,106.07,104.75,106.01,3084000,105.26
2007-06-07 00:00:00,106.44,106.81,104.87,104.87,5045600,104.13
2007-06-06 00:00:00,107.05,107.3,106.29,106.6,5596900,105.85
2007-06-05 00:00:00,108.05,108.05,107.07,107.31,3836400,106.55
2007-06-04 00:00:00,107.55,108.73,107.55,108.24,2335400,107.39
2007-06-01 00:00:00,106.2,108.03,106.15,107.42,5066300,106.57
2007-05-31 00:00:00,105.29,106.34,105.29,105.99,3270300,105.15
2007-05-30 00:00:00,104.13,105.25,104.12,105.25,1893700,104.42
2007-05-29 00:00:00,104.55,105.1,104.24,104.7,3945200,103.87
