As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Commercial Positions-Long (All),Commercial Positions-Short (All)
2015-03-03,24332,63195,69531,17566
2015-02-24,22423,58668,69197,17737
2015-02-17,19998,52840,64638,15648
2015-02-10,21176,54509,66616,16113
2015-02-03,24553,51874,60231,15559
2015-01-27,28914,52877,56159,15004
2015-01-20,24238,53318,59282,13578
2015-01-13,27599,48778,52263,14608
2015-01-06,31275,48362,48606,14516
2016-12-27,36597,38195,30039,21370
2016-12-20,22246,34000,52784,38842
2016-12-13,24035,45904,54943,34822
2016-12-06,21538,39696,56070,33177
2016-11-29,25010,43586,61735,34553
2016-11-22,28260,45722,64108,34537
2016-11-15,34293,52892,64713,32179
2016-11-08,32850,54162,60639,30561
2016-11-01,35723,51683,56569,31799
2016-10-25,33274,46598,50812,29164
2016-10-18,23679,37977,43075,27569
2016-10-11,30809,42513,46146,26621
2016-10-04,32585,46662,45693,25329
2016-09-27,34579,46194,44542,25681
2016-09-20,57216,40913,53400,67179
2016-09-13,45790,28732,48174,66685
2016-09-06,44136,23231,43384,73389
2016-08-30,46808,24408,42757,76792
2016-08-23,50097,33363,43820,75437
2016-08-16,46118,33645,43388,66154
2016-08-09,43647,28281,42636,58173
2016-08-02,41711,23953,42005,63882
2016-07-26,44023,20843,43091,66035
2016-07-19,43086,21018,42753,70432
2016-07-12,39963,22788,42740,65261
2016-07-05,41031,29514,43551,61699
2016-06-28,38675,30726,44473,59912
2016-06-21,40664,38069,44071,58205
2016-06-14,42394,23954,74637,115547
2016-06-07,37421,15884,52674,82076
2016-05-31,38753,12494,51879,82201
2016-05-24,32834,12787,55464,81059
2016-05-17,37009,14303,50005,83532
2016-05-10,42040,16166,48293,82183
2016-05-03,39840,20897,47204,77949
2016-04-26,37104,25105,47268,72952
2016-04-19,32473,25165,46801,64866
2016-04-12,28968,26583,45199,55301
2016-04-05,29565,29468,44400,50888
2016-03-29,28146,34326,45660,42001
2016-03-22,21807,36816,46885,37226
2016-03-15,31584,48410,108483,91330
2016-03-08,30550,56331,105413,78193
2016-03-01,31018,61496,102244,64669
2016-02-23,31487,68427,100612,57111
2016-02-16,29077,74162,103804,51417
2016-02-09,27279,79214,104221,44583
2016-02-02,30069,82489,103015,32595
2016-01-26,32767,99586,105878,24681
2016-01-19,33064,99450,105244,22763
2016-01-12,38837,98051,102793,24084
2016-01-05,40898,101028,101060,21325
2017-12-26,42372,25026,35963,66442
2017-12-19,68451,22550,49332,104903
2017-12-12,62198,20238,45454,98941
2017-12-05,66467,24001,39258,95363
2017-11-28,67882,22224,35966,97790
2017-11-21,67324,22199,34230,96416
2017-11-14,70473,23138,35157,93122
2017-11-07,75460,24571,32552,94493
2017-10-31,84309,26470,32021,103799
2017-10-24,96561,24229,33619,123307
2017-10-17,94507,19421,35726,131461
2017-10-10,97068,20676,33076,130611
2017-10-03,97204,22076,35298,132354
2017-09-26,102688,28083,33487,130317
2017-09-19,100675,41829,149713,229684
2017-09-12,91645,41146,78318,152389
2017-09-05,94732,41088,62321,133671
2017-08-29,86806,33639,59983,128659
2017-08-22,80965,29866,61276,127582
2017-08-15,86455,35106,59593,128702
2017-08-08,98237,35416,58066,143051
2017-08-01,82885,42247,58579,120063
2017-07-25,70385,43772,61163,102679
2017-07-18,60000,51957,65157,87484
2017-07-11,46080,54684,70170,76801
2017-07-03,34300,73672,71029,38736
2017-06-27,28698,78193,78927,30949
2017-06-20,28507,111388,156474,70708
2017-06-13,26781,115376,134249,36156
2017-06-06,26492,120993,145121,39283
2017-05-30,23711,121898,144726,35352
2017-05-23,29681,128790,147449,35345
2017-05-16,39130,137130,145253,36569
2017-05-09,47412,133627,132142,32866
2017-05-02,66565,114269,93666,32196
2017-04-25,52545,95187,81341,28596
2017-04-18,37306,70558,71513,29346
2017-04-11,31432,63766,65672,27077
2017-04-04,38535,68760,66642,27932
2017-03-28,30419,58636,63563,27122
2017-03-21,30293,54696,60428,27964
2017-03-14,74620,53162,73482,86268
2017-03-07,65616,36396,44006,72465
2017-02-28,63125,33035,37216,74841
2017-02-21,58780,34196,38291,70811
2017-02-14,53152,33812,37935,66128
2017-02-07,46127,37577,37515,56453
2017-01-31,44939,41467,36065,46014
2017-01-24,36175,33656,34655,37697
2017-01-17,32064,37520,37227,32371
2017-01-10,28405,36340,33421,22096
2017-01-03,39546,43417,33109,18938
