DATE,m2cd,gdp,nonfincred,realest
1975-07-01,975.1,1713.812,1571.534,131.83
1975-08-01,983.1,,,131.9313
1975-09-01,991.5,,,132.1325
1975-10-01,997.8,1765.867,1605.743,132.863
1975-11-01,1006.9,,,133.3819
1975-12-01,1016.2,,,134.0939
1976-01-01,1026.6,1824.509,1626.26,135.0484
1976-02-01,1040.3,,,136.2984
1976-03-01,1050.0,,,137.9788
1976-04-01,1060.8,1856.944,1673.959,139.8826
1976-05-01,1072.1,,,140.9549
1976-06-01,1077.6,,,141.6213
1976-07-01,1086.3,1890.5,1714.503,142.5971
1976-08-01,1098.7,,,143.755
1976-09-01,1110.8,,,144.7779
1976-10-01,1125.0,1938.413,1765.357,146.071
1976-11-01,1138.2,,,147.2806
1976-12-01,1152.0,,,148.5136
1977-01-01,1165.2,1992.534,1808.633,149.6394
1977-02-01,1177.6,,,151.6731
1977-03-01,1188.5,,,153.6788
1977-04-01,1199.6,2060.165,1879.097,156.0952
1977-05-01,1209.0,,,158.592
1977-06-01,1217.8,,,160.6562
1977-07-01,1226.7,2122.387,1940.832,162.9974
1977-08-01,1237.0,,,165.634
1977-09-01,1246.2,,,167.5557
1977-10-01,1254.0,2168.716,2014.056,170.2452
1977-11-01,1262.4,,,172.8184
1977-12-01,1270.3,,,175.0673
1978-01-01,1279.7,2208.688,2066.465,177.7143
1978-02-01,1285.5,,,180.32
1978-03-01,1292.2,,,183.0011
1978-04-01,1300.4,2336.563,2156.921,185.8235
1978-05-01,1310.5,,,188.9707
1978-06-01,1318.5,,,192.106
1978-07-01,1324.1,2398.866,2231.729,195.0134
1978-08-01,1333.5,,,198.3252
1978-09-01,1345.0,,,201.099
1978-10-01,1352.3,2482.159,2309.006,204.5151
1978-11-01,1359.1,,,207.5855
1978-12-01,1366.0,,,210.462
1979-01-01,1371.6,2531.555,2370.871,211.9456
1979-02-01,1377.8,,,213.6288
1979-03-01,1387.8,,,215.6358
1979-04-01,1402.1,2595.909,2468.149,218.0995
1979-05-01,1410.2,,,220.5903
1979-06-01,1423.0,,,223.9688
1979-07-01,1434.8,2670.388,2557.233,228.0921
1979-08-01,1446.6,,,230.9436
1979-09-01,1454.1,,,233.9281
1979-10-01,1460.4,2730.705,2634.053,236.8872
1979-11-01,1465.9,,,239.268
1979-12-01,1473.7,,,241.6747
1980-01-01,1482.7,2796.523,2702.887,244.1149
1980-02-01,1494.6,,,247.048
1980-03-01,1499.8,,,248.9923
1980-04-01,1502.2,2799.938,2743.985,250.6829
1980-05-01,1512.3,,,251.3254
1980-06-01,1529.2,,,252.0475
1980-07-01,1545.5,2860.044,2806.035,253.6243
1980-08-01,1561.5,,,255.0428
1980-09-01,1574.0,,,256.2875
1980-10-01,1584.8,2993.525,2888.5,258.4035
1980-11-01,1595.8,,,260.6068
1980-12-01,1599.8,,,262.2834
1981-01-01,1606.9,3131.799,2935.341,263.7707
1981-02-01,1618.7,,,265.1531
1981-03-01,1636.6,,,266.8392
1981-04-01,1659.2,3167.251,3030.157,268.6235
1981-05-01,1664.2,,,271.2572
1981-06-01,1670.3,,,273.4038
1981-07-01,1681.9,3261.203,3110.547,274.7618
1981-08-01,1694.3,,,277.0577
1981-09-01,1706.0,,,278.7288
1981-10-01,1721.8,3283.536,3179.651,280.1515
1981-11-01,1736.1,,,281.6173
1981-12-01,1755.5,,,283.5867
1982-01-01,1770.4,3273.809,3226.09,285.4002
1982-02-01,1774.5,,,287.5623
1982-03-01,1786.5,,,290.207
1982-04-01,1803.9,3331.281,3299.186,291.8256
1982-05-01,1815.4,,,293.82
1982-06-01,1826.0,,,295.6466
1982-07-01,1831.5,3367.072,3346.576,295.9582
1982-08-01,1845.2,,,297.0876
1982-09-01,1858.4,,,297.9524
1982-10-01,1869.7,3407.81,3400.835,298.668
1982-11-01,1883.7,,,299.2424
1982-12-01,1905.9,,,299.653
1983-01-01,1959.4,3480.321,3441.223,302.0905
1983-02-01,1996.8,,,303.1623
1983-03-01,2015.2,,,304.3282
1983-04-01,2028.6,3583.844,3531.661,306.2567
1983-05-01,2043.1,,,308.3139
1983-06-01,2053.5,,,310.8249
1983-07-01,2064.8,3692.257,3629.948,314.1926
1983-08-01,2074.0,,,317.2201
1983-09-01,2083.2,,,320.6919
1983-10-01,2099.3,3796.121,3750.236,324.0551
1983-11-01,2112.3,,,327.3763
1983-12-01,2123.5,,,330.3526
1984-01-01,2138.2,3912.774,3854.611,333.7075
1984-02-01,2158.2,,,337.6043
1984-03-01,2175.2,,,342.0163
1984-04-01,2191.7,4015.0,4011.096,346.1789
1984-05-01,2204.1,,,349.7492
1984-06-01,2215.1,,,353.7386
1984-07-01,2223.5,4087.378,4132.872,357.1593
1984-08-01,2230.4,,,360.6726
1984-09-01,2244.4,,,364.7314
1984-10-01,2258.9,4147.606,4292.249,367.6312
1984-11-01,2281.4,,,372.3966
1984-12-01,2306.4,,,376.2431
1985-01-01,2332.4,4237.01,4419.126,379.0098
1985-02-01,2354.1,,,383.1147
1985-03-01,2366.2,,,387.1412
1985-04-01,2375.4,4302.297,4564.642,390.5686
1985-05-01,2389.5,,,394.4292
1985-06-01,2412.6,,,397.6212
1985-07-01,2429.5,4394.563,4699.208,401.105
1985-08-01,2444.0,,,405.2282
1985-09-01,2456.4,,,409.7761
1985-10-01,2468.0,4453.105,4894.652,414.3636
1985-11-01,2477.8,,,418.64
1985-12-01,2492.1,,,422.8814
1986-01-01,2502.1,4516.344,4980.713,427.4225
1986-02-01,2512.9,,,432.0818
1986-03-01,2533.1,,,437.0615
1986-04-01,2557.8,4555.245,5128.267,441.9357
1986-05-01,2584.8,,,446.733
1986-06-01,2605.0,,,451.2371
1986-07-01,2626.6,4619.627,5274.804,457.1154
1986-08-01,2646.5,,,463.3301
1986-09-01,2667.8,,,469.3373
1986-10-01,2687.4,4669.396,5452.888,473.9135
1986-11-01,2701.3,,,479.2478
1986-12-01,2728.0,,,490.7508
1987-01-01,2743.9,4736.231,5518.737,502.8867
1987-02-01,2747.5,,,508.4478
1987-03-01,2753.7,,,516.5573
1987-04-01,2767.7,4821.459,5670.479,524.8605
1987-05-01,2772.9,,,532.1782
1987-06-01,2774.6,,,541.703
1987-07-01,2779.0,4900.509,5798.518,549.4384
1987-08-01,2788.2,,,556.2806
1987-09-01,2799.5,,,563.1944
1987-10-01,2814.8,5022.67,5903.883,570.7356
1987-11-01,2818.9,,,577.6655
1987-12-01,2826.4,,,585.6639
1988-01-01,2847.4,5090.615,6018.669,591.5777
1988-02-01,2870.4,,,595.8663
1988-03-01,2890.7,,,601.4221
1988-04-01,2910.7,5207.707,6188.741,608.9148
1988-05-01,2926.0,,,616.208
1988-06-01,2938.4,,,622.7552
1988-07-01,2947.2,5299.486,6323.015,629.8804
1988-08-01,2952.0,,,637.3202
1988-09-01,2956.9,,,644.253
1988-10-01,2965.3,5412.713,6483.071,651.404
1988-11-01,2980.2,,,656.8783
1988-12-01,2988.2,,,663.016
1989-01-01,2991.7,5527.352,6586.953,676.45
1989-02-01,2992.2,,,682.9834
1989-03-01,2999.7,,,688.8845
1989-04-01,3006.0,5628.429,6745.132,698.1901
1989-05-01,3011.6,,,704.2696
1989-06-01,3027.9,,,711.8761
1989-07-01,3052.4,5711.556,6852.414,720.4837
1989-08-01,3074.4,,,730.5069
1989-09-01,3092.5,,,739.192
1989-10-01,3114.1,5763.444,6988.916,745.1687
1989-11-01,3133.3,,,752.6937
1989-12-01,3152.5,,,759.8615
1990-01-01,3166.8,5890.835,7106.245,765.8142
1990-02-01,3179.2,,,774.6935
1990-03-01,3190.1,,,781.6291
1990-04-01,3201.6,5974.665,7217.567,788.7088
1990-05-01,3200.6,,,797.8321
1990-06-01,3213.7,,,805.6254
1990-07-01,3224.5,6029.504,7307.892,814.302
1990-08-01,3242.0,,,819.2669
1990-09-01,3254.6,,,823.2769
1990-10-01,3259.3,6023.332,7378.233,829.0939
1990-11-01,3262.6,,,834.3146
1990-12-01,3271.8,,,841.66
1991-01-01,3287.7,6054.867,7373.737,846.587
1991-02-01,3304.5,,,851.7679
1991-03-01,3321.9,,,857.3216
1991-04-01,3332.4,6143.612,7449.022,860.6063
1991-05-01,3343.0,,,862.4234
1991-06-01,3351.9,,,865.8952
1991-07-01,3356.1,6218.425,7460.682,864.5163
1991-08-01,3355.0,,,863.745
1991-09-01,3354.9,,,864.3769
1991-10-01,3360.1,6279.296,7494.519,865.7562
1991-11-01,3365.5,,,867.1134
1991-12-01,3372.2,,,868.1059
1992-01-01,3381.2,6380.798,7520.588,870.9968
1992-02-01,3400.0,,,873.3806
1992-03-01,3403.9,,,874.6543
1992-04-01,3399.7,6492.299,7567.18,881.1469
1992-05-01,3398.6,,,881.7482
1992-06-01,3393.4,,,879.4075
1992-07-01,3393.9,6586.548,7618.349,878.6296
1992-08-01,3398.8,,,880.2331
1992-09-01,3410.3,,,882.9474
1992-10-01,3423.8,6697.553,7689.153,885.7759
1992-11-01,3426.5,,,887.0608
1992-12-01,3424.7,,,887.7973
1993-01-01,3419.1,6748.182,7727.994,886.1141
1993-02-01,3414.5,,,886.9016
1993-03-01,3411.7,,,889.8113
1993-04-01,3411.3,6829.594,7838.415,892.7086
1993-05-01,3436.9,,,898.1516
1993-06-01,3442.4,,,902.3564
1993-07-01,3442.0,6904.222,7953.353,904.4394
1993-08-01,3445.7,,,907.2981
1993-09-01,3452.2,,,910.6951
1993-10-01,3456.7,7032.844,8079.098,914.8564
1993-11-01,3470.1,,,919.2161
1993-12-01,3474.5,,,928.6299
1994-01-01,3474.9,7136.259,8184.074,929.5233
1994-02-01,3475.7,,,929.5358
1994-03-01,3480.1,,,931.8441
1994-04-01,3481.3,7269.847,8317.437,935.522
1994-05-01,3490.8,,,939.7836
1994-06-01,3479.5,,,944.6788
1994-07-01,3488.2,7352.255,8444.121,951.4079
1994-08-01,3485.7,,,957.4842
1994-09-01,3486.1,,,965.1201
1994-10-01,3484.3,7476.661,8613.073,971.2659
1994-11-01,3487.2,,,977.8024
1994-12-01,3486.4,,,987.8279
1995-01-01,3492.4,7545.296,8720.57,996.8236
1995-02-01,3489.9,,,1006.1535
1995-03-01,3491.1,,,1013.5562
1995-04-01,3499.2,7604.923,8892.523,1019.8525
1995-05-01,3524.2,,,1027.7928
1995-06-01,3548.9,,,1035.1299
1995-07-01,3567.4,7706.531,9036.203,1044.4467
1995-08-01,3589.0,,,1049.2313
1995-09-01,3602.1,,,1054.8413
1995-10-01,3613.4,7799.493,9188.85,1057.2345
1995-11-01,3619.9,,,1060.8377
1995-12-01,3629.5,,,1062.0657
1996-01-01,3647.9,7893.146,9308.792,1068.2936
1996-02-01,3661.9,,,1071.5139
1996-03-01,3687.0,,,1077.4233
1996-04-01,3697.8,8061.535,9485.553,1079.3261
1996-05-01,3709.7,,,1081.662
1996-06-01,3722.7,,,1084.7942
1996-07-01,3737.3,8159.043,9627.592,1080.6392
1996-08-01,3744.3,,,1089.1293
1996-09-01,3753.7,,,1096.3506
1996-10-01,3771.0,8287.078,9762.068,1104.9327
1996-11-01,3790.2,,,1112.1596
1996-12-01,3810.5,,,1122.9637
1997-01-01,3824.8,8402.06,9889.614,1129.9316
1997-02-01,3836.4,,,1135.1021
1997-03-01,3851.3,,,1147.7855
1997-04-01,3867.4,8551.94,10081.637,1160.6565
1997-05-01,3879.2,,,1172.0576
1997-06-01,3896.0,,,1183.6136
1997-07-01,3913.9,8691.756,10293.745,1190.398
1997-08-01,3947.5,,,1196.2985
1997-09-01,3963.2,,,1208.5126
1997-10-01,3982.3,8788.32,10485.078,1214.9638
1997-11-01,4004.8,,,1219.5036
1997-12-01,4023.0,,,1220.5948
1998-01-01,4046.3,8889.732,10693.474,1224.4018
1998-02-01,4079.0,,,1237.6215
1998-03-01,4104.6,,,1252.375
1998-04-01,4130.3,8994.738,10994.767,1259.0153
1998-05-01,4154.2,,,1259.779
1998-06-01,4174.1,,,1261.0079
1998-07-01,4193.8,9146.521,11208.079,1265.5125
1998-08-01,4218.8,,,1271.8269
1998-09-01,4257.7,,,1275.4114
1998-10-01,4297.8,9325.65,11476.401,1283.8823
1998-11-01,4336.8,,,1302.7516
1998-12-01,4365.7,,,1311.2349
1999-01-01,4393.1,9447.103,11735.112,1317.3881
1999-02-01,4415.8,,,1320.1804
1999-03-01,4422.7,,,1326.2316
1999-04-01,4451.3,9557.005,11997.37,1332.0453
1999-05-01,4475.5,,,1341.0402
1999-06-01,4497.3,,,1347.1132
1999-07-01,4524.6,9712.28,12347.005,1354.3248
1999-08-01,4541.8,,,1369.8792
1999-09-01,4557.9,,,1389.096
1999-10-01,4581.6,9926.101,12626.264,1411.5876
1999-11-01,4600.6,,,1424.9758
1999-12-01,4628.1,,,1460.1212
2000-01-01,4656.3,10031.031,12926.336,1480.8245
2000-02-01,4669.6,,,1491.662
2000-03-01,4700.4,,,1517.7071
2000-04-01,4756.2,10278.34,13256.182,1541.1944
2000-05-01,4743.7,,,1565.0398
2000-06-01,4761.5,,,1585.2671
2000-07-01,4779.1,10357.445,13530.27,1600.6068
2000-08-01,4807.2,,,1613.5894
2000-09-01,4842.8,,,1624.8702
2000-10-01,4858.8,10472.285,13767.571,1625.2452
2000-11-01,4869.6,,,1635.0218
2000-12-01,4914.4,,,1638.5428
2001-01-01,4965.0,10508.121,13873.594,1641.3695
2001-02-01,5003.2,,,1654.8195
2001-03-01,5061.1,,,1668.2627
2001-04-01,5125.0,10638.384,14193.834,1682.5134
2001-05-01,5121.8,,,1695.3187
2001-06-01,5162.1,,,1699.9217
2001-07-01,5192.0,10639.486,14498.943,1702.639
2001-08-01,5225.9,,,1703.8361
2001-09-01,5336.5,,,1714.4881
2001-10-01,5323.0,10701.317,14690.682,1717.3219
2001-11-01,5366.5,,,1739.2955
2001-12-01,5419.6,,,1757.7132
2002-01-01,5440.1,10834.445,14861.946,1755.3061
2002-02-01,5469.6,,,1766.6145
2002-03-01,5481.5,,,1771.5566
2002-04-01,5481.6,10934.752,15083.191,1782.1946
2002-05-01,5507.2,,,1790.8479
2002-06-01,5532.2,,,1817.0382
2002-07-01,5574.9,11037.057,15295.847,1837.1682
2002-08-01,5617.3,,,1866.936
2002-09-01,5641.7,,,1901.9349
2002-10-01,5686.3,11103.834,15610.232,1946.9721
2002-11-01,5736.2,,,1980.5606
2002-12-01,5757.5,,,2009.6697
2003-01-01,5790.4,11230.078,15816.885,2033.6351
2003-02-01,5826.7,,,2067.7213
2003-03-01,5847.3,,,2083.8406
2003-04-01,5884.9,11370.653,16220.882,2106.9732
2003-05-01,5945.1,,,2131.6246
2003-06-01,5981.7,,,2150.6514
2003-07-01,6028.4,11625.137,16511.022,2178.1365
2003-08-01,6086.5,,,2221.3612
2003-09-01,6058.3,,,2235.2982
2003-10-01,6049.4,11816.827,16767.584,2213.306
2003-11-01,6054.5,,,2202.3749
2003-12-01,6052.6,,,2207.2679
2004-01-01,6061.1,11988.403,17102.422,2224.101
2004-02-01,6100.2,,,2251.6695
2004-03-01,6136.1,,,2289.8191
2004-04-01,6177.1,12181.398,17487.686,2343.1856
2004-05-01,6254.0,,,2384.0248
2004-06-01,6256.3,,,2409.4644
2004-07-01,6270.0,12367.744,17859.508,2414.182
2004-08-01,6296.3,,,2437.2997
2004-09-01,6331.0,,,2466.5596
2004-10-01,6359.1,12562.163,18355.215,2495.7762
2004-11-01,6385.7,,,2526.1022
2004-12-01,6404.3,,,2552.5708
2005-01-01,6410.6,12813.729,18684.303,2575.5454
2005-02-01,6419.0,,,2605.187
2005-03-01,6427.9,,,2652.0565
2005-04-01,6442.0,12974.083,19175.431,2680.9134
2005-05-01,6459.2,,,2695.9799
2005-06-01,6491.6,,,2733.2201
2005-07-01,6523.2,13205.445,19656.179,2782.1006
2005-08-01,6556.0,,,2823.8805
2005-09-01,6589.8,,,2845.2546
2005-10-01,6624.2,13381.629,20132.786,2869.9164
2005-11-01,6640.7,,,2894.1166
2005-12-01,6667.4,,,2925.5414
2006-01-01,6709.9,13648.904,20666.224,2944.1259
2006-02-01,6734.2,,,2971.4994
2006-03-01,6748.5,,,3000.987
2006-04-01,6785.6,13799.794,21230.421,3029.5035
2006-05-01,6792.3,,,3058.5176
2006-06-01,6830.2,,,3092.7911
2006-07-01,6871.6,13908.498,21700.305,3121.0694
2006-08-01,6902.3,,,3129.9623
2006-09-01,6929.4,,,3158.1757
2006-10-01,6978.9,14066.37,22229.851,3307.5668
2006-11-01,7013.6,,,3335.2628
2006-12-01,7056.8,,,3371.1227
2007-01-01,7094.9,14233.226,22634.08,3393.1408
2007-02-01,7110.6,,,3420.8379
2007-03-01,7144.4,,,3367.1501
2007-04-01,7216.4,14422.313,23238.139,3389.1304
2007-05-01,7230.1,,,3409.9203
2007-06-01,7263.2,,,3427.6336
2007-07-01,7293.5,14569.675,23784.72,3448.1371
2007-08-01,7370.0,,,3469.4665
2007-09-01,7388.0,,,3503.3674
2007-10-01,7402.3,14685.33,24274.75,3558.0091
2007-11-01,7427.1,,,3585.5836
2007-12-01,7457.4,,,3598.8738
2008-01-01,7491.2,14668.445,24595.369,3612.5344
2008-02-01,7575.7,,,3628.5268
2008-03-01,7641.7,,,3652.0594
2008-04-01,7684.6,14812.974,24727.959,3658.3973
2008-05-01,7696.4,,,3649.8067
2008-06-01,7713.9,,,3637.1591
2008-07-01,7760.3,14842.983,24994.566,3630.2545
2008-08-01,7775.4,,,3630.5327
2008-09-01,7845.4,,,3669.2395
2008-10-01,7954.1,14549.949,24715.45,3826.2128
2008-11-01,8004.7,,,3825.3948
2008-12-01,8181.3,,,3819.0934
2009-01-01,8262.6,14383.885,24453.252,3800.2668
2009-02-01,8291.7,,,3825.0932
2009-03-01,8357.7,,,3828.8489
2009-04-01,8360.6,14340.417,24348.118,3838.5026
2009-05-01,8417.9,,,3877.6541
2009-06-01,8427.5,,,3860.3029
2009-07-01,8432.3,14384.145,24182.497,3839.6285
2009-08-01,8432.0,,,3814.5133
2009-09-01,8431.0,,,3767.8631
2009-10-01,8458.4,14566.511,23958.116,3743.0976
2009-11-01,8488.5,,,3804.0741
2009-12-01,8483.7,,,3776.8096
2010-01-01,8446.0,14681.063,23797.839,3756.8535
2010-02-01,8495.5,,,3720.7997
2010-03-01,8491.9,,,3706.3723
2010-04-01,8522.2,14888.6,23659.689,3712.3466
2010-05-01,8577.1,,,3699.2213
2010-06-01,8596.3,,,3682.3604
2010-07-01,8606.3,15057.66,23679.491,3662.245
2010-08-01,8656.4,,,3656.1487
2010-09-01,8687.5,,,3643.8778
2010-10-01,8736.6,15230.208,23572.045,3628.6308
2010-11-01,8757.5,,,3622.1163
2010-12-01,8789.3,,,3613.4966
2011-01-01,8826.3,15238.371,23548.684,3602.2324
2011-02-01,8871.5,,,3570.2324
2011-03-01,8915.0,,,3540.6108
2011-04-01,8977.3,15460.926,23522.368,3520.4829
2011-05-01,9028.7,,,3507.9075
2011-06-01,9113.1,,,3501.096
2011-07-01,9301.5,15587.125,23528.436,3498.1266
2011-08-01,9515.0,,,3493.0238
2011-09-01,9539.6,,,3490.2678
2011-10-01,9570.9,15785.312,23639.969,3499.0957
2011-11-01,9612.4,,,3503.6088
2011-12-01,9651.1,,,3494.9634
2012-01-01,9731.0,15973.881,23697.988,3510.3605
2012-02-01,9773.0,,,3539.7632
2012-03-01,9817.1,,,3544.4029
2012-04-01,9871.6,16121.851,23808.389,3540.385
2012-05-01,9903.3,,,3538.7985
2012-06-01,9973.5,,,3528.3851
2012-07-01,10047.1,16227.939,23945.229,3525.947
2012-08-01,10117.8,,,3527.1713
2012-09-01,10200.1,,,3531.1917
2012-10-01,10260.9,16297.349,24206.884,3527.5073
2012-11-01,10320.2,,,3554.2799
2012-12-01,10445.9,,,3550.685
2013-01-01,10472.2,16475.44,24245.502,3559.6018
2013-02-01,10467.8,,,3554.465
2013-03-01,10539.1,,,3549.0271
2013-04-01,10574.6,16541.39,24402.811,3552.6908
2013-05-01,10611.0,,,3545.1946
2013-06-01,10666.0,,,3544.0083
2013-07-01,10722.4,16749.349,24685.651,3538.1029
2013-08-01,10780.5,,,3528.1016
2013-09-01,10832.6,,,3527.346
2013-10-01,10944.5,16999.888,24843.188,3524.342
2013-11-01,10953.2,,,3528.9141
2013-12-01,11015.6,,,3531.7658
2014-01-01,11066.3,17031.324,25001.158,3535.0979
2014-02-01,11147.3,,,3546.4991
2014-03-01,11188.7,,,3561.4445
2014-04-01,11245.8,17320.921,25313.039,3573.7761
2014-05-01,11314.2,,,3581.6259
2014-06-01,11367.7,,,3597.5739
2014-07-01,11428.9,17622.257,25607.354,3605.5159
2014-08-01,11458.0,,,3616.2585
2014-09-01,11492.1,,,3619.8502
2014-10-01,11551.0,17735.933,25888.567,3621.1525
2014-11-01,11592.2,,,3626.6055
2014-12-01,11670.8,,,3638.6495
2015-01-01,11732.2,17874.715,26101.081,3652.9707
2015-02-01,11849.4,,,3676.6511
2015-03-01,11866.8,,,3711.5203
2015-04-01,11914.0,18093.224,26504.017,3720.2898
2015-05-01,11947.7,,,3729.9017
2015-06-01,11996.5,,,3747.8287
2015-07-01,12047.7,18227.689,26733.199,3762.2662
2015-08-01,12099.8,,,3777.4816
2015-09-01,12154.1,,,3795.4477
2015-10-01,12184.4,18287.226,26955.543,3812.8255
2015-11-01,12277.8,,,3846.5962
2015-12-01,12337.3,,,3871.0592
2016-01-01,12459.0,18325.187,27236.607,3889.728
2016-02-01,12528.9,,,3917.0812
2016-03-01,12594.3,,,3944.7628
2016-04-01,12682.9,18538.039,27550.841,3959.9659
2016-05-01,12754.1,,,3986.4718
2016-06-01,12829.6,,,4006.8312
2016-07-01,12888.8,18729.13,27895.222,4031.585
2016-08-01,12977.5,,,4053.4353
2016-09-01,13036.2,,,4074.8017
2016-10-01,13102.2,18905.545,28108.44,4098.3063
2016-11-01,13176.0,,,4109.4836
2016-12-01,13210.5,,,4117.5137
2017-01-01,13277.1,19057.705,28421.574,4132.2395
