,GLD,USO
168,61.65,52.92
169,61.98,51.64
170,62.22,51.35
171,62.9,51.3
172,63.21,51.6
173,62.28,49.4
174,61.65,47.39
175,60.17,47.83
176,60.48,47.49
177,60.85,47.3
178,60.59,45.36
179,60.63,44.34
180,62.17,44.63
181,61.97,43.34
182,62.64,44.22
183,62.26,43.23
184,63.0,44.43
185,62.72,43.84
186,64.23,45.65
187,64.33,46.1
188,64.06,45.27
189,64.17,46.28
190,63.77,44.97
191,64.22,47.36
192,64.83,48.24
193,65.22,47.84
194,64.28,49.34
195,64.31,49.1
196,64.79,49.21
197,64.63,48.25
198,65.52,49.75
199,66.12,49.99
200,65.67,48.37
201,65.84,49.36
202,66.37,48.45
203,66.41,48.35
204,66.36,49.35
205,65.31,48.67
206,67.35,49.86
207,67.15,50.33
208,67.72,50.46
209,68.1,50.9
210,65.41,49.95
211,66.48,51.18
212,65.82,51.24
213,63.71,51.01
214,62.93,49.62
215,64.15,50.32
216,64.3,51.29
217,64.48,51.29
218,64.25,50.11
219,64.37,49.35
220,63.72,48.94
221,63.94,49.14
222,63.98,48.67
223,64.62,48.42
224,64.74,48.7
225,65.27,48.46
226,65.82,48.8
227,65.76,50.18
228,65.15,50.57
229,65.84,51.17
230,65.7,51.2
231,66.05,52.0
232,65.65,53.62
233,65.74,53.35
234,65.85,53.56
235,65.83,52.46
236,66.81,52.33
237,66.86,52.01
238,66.53,50.35
239,67.16,50.61
240,67.08,50.46
241,66.99,51.65
242,67.84,51.52
243,68.4,51.2
244,68.0,50.29
245,68.38,50.14
246,67.53,49.22
247,68.7,50.05
248,68.26,51.22
249,67.73,50.39
250,67.89,51.32
251,66.87,50.94
252,67.56,51.84
253,67.09,51.24
254,66.69,50.36
255,66.66,49.59
256,67.49,49.28
257,68.19,48.3
258,68.25,48.06
259,67.88,48.64
260,67.45,48.01
261,66.0,48.15
262,66.45,48.57
263,66.28,48.56
264,66.54,48.99
265,65.6,48.53
266,65.06,50.16
267,65.52,50.1
268,65.67,50.82
269,65.2,49.92
270,65.54,50.17
271,64.75,48.93
272,64.94,49.5
273,65.07,48.4
274,64.72,48.21
275,65.54,48.96
276,66.44,49.46
277,66.54,50.35
278,66.37,50.02
279,66.41,50.31
280,65.26,50.65
281,64.22,49.06
282,64.7,49.84
283,64.1,49.56
284,64.53,50.09
285,64.6,51.1
286,64.85,51.53
287,64.95,52.14
288,65.48,52.12
289,64.71,51.55
290,64.56,51.6
291,64.78,51.89
292,64.43,51.96
293,63.62,51.12
294,63.67,51.88
295,64.26,52.47
296,64.27,53.0
297,65.02,53.53
298,64.74,53.54
299,64.42,54.15
300,64.96,54.68
301,65.38,54.35
302,65.61,54.72
303,65.44,54.66
304,66.02,54.74
305,66.03,55.54
306,65.82,55.76
307,65.75,55.64
308,66.62,56.58
309,67.01,57.08
310,67.58,57.0
311,67.47,56.38
312,67.47,55.16
313,66.9,57.44
314,65.65,56.22
315,65.41,57.74
316,65.77,57.5
317,65.79,58.53
318,65.93,57.76
319,65.89,57.7
320,66.69,56.44
321,66.52,54.2
322,66.48,54.36
323,66.77,54.27
324,65.46,53.78
325,66.57,53.64
326,66.26,53.85
327,66.29,54.23
328,66.13,55.13
329,64.68,53.58
330,65.01,54.03
331,65.12,53.54
332,65.07,52.43
333,65.4,52.35
334,65.31,52.65
335,66.11,53.64
336,65.98,54.33
337,65.59,54.03
338,66.07,55.55
339,65.8,55.5
340,66.52,55.78
341,67.44,56.75
342,67.56,57.26
343,68.86,57.63
344,69.39,57.76
345,69.62,58.79
346,70.52,58.96
347,70.46,60.0
348,70.08,60.17
349,69.99,59.79
350,70.97,60.67
351,71.7,62.05
352,71.43,61.82
353,72.72,62.65
354,72.34,62.14
355,72.28,61.82
356,72.33,61.07
357,72.0,61.7
358,72.7,63.44
359,73.51,62.55
360,73.9,61.59
361,72.35,61.63
362,71.9,61.29
363,72.87,62.61
364,73.4,62.28
365,72.53,60.76
366,73.09,61.4
367,73.36,62.4
368,73.91,63.59
369,74.59,64.0
370,75.14,65.89
371,75.12,66.98
372,74.5,66.63
373,76.0,68.17
374,75.7,67.14
375,74.6,66.54
376,75.23,65.83
377,75.52,67.98
378,76.03,70.12
379,77.69,71.17
380,78.12,72.5
381,77.35,69.54
382,78.62,73.27
383,77.93,72.17
384,79.83,74.35
385,79.75,73.54
386,81.43,75.34
387,82.24,74.48
388,82.23,74.08
389,82.18,74.77
390,78.3,72.77
391,79.12,70.93
392,80.28,72.6
393,77.95,72.3
394,77.75,73.9
395,77.24,74.49
396,79.47,77.34
397,79.36,76.44
398,81.25,76.76
399,81.3,76.25
400,80.1,74.3
401,79.57,71.8
402,78.28,71.64
403,77.32,69.91
404,78.28,70.7
405,79.4,69.4
406,78.63,68.69
407,79.37,71.02
408,78.6,69.43
409,80.0,69.36
410,78.84,70.26
411,80.49,73.9
412,78.5,73.17
413,78.52,72.26
414,78.13,71.89
415,79.25,71.11
416,79.24,72.15
417,78.67,72.1
418,80.1,73.8
419,80.14,73.95
420,81.52,75.91
421,81.56,76.25
422,83.0,75.89
423,82.46,75.76
424,84.86,78.47
425,85.57,78.37
426,85.13,77.31
427,84.77,75.5
428,86.78,76.06
429,86.55,75.25
430,88.25,74.02
431,88.58,73.09
432,89.54,74.25
433,87.99,72.78
434,86.7,71.85
435,86.5,71.03
436,87.42,71.54
437,88.17,70.55
438,87.89,69.5
439,90.08,70.93
440,90.3,71.91
441,91.75,72.35
442,91.15,72.98
443,92.06,73.08
444,91.4,72.35
445,89.35,70.47
446,89.1,71.37
447,87.68,70.15
448,88.95,69.02
449,89.85,69.8
450,91.0,72.9
451,91.33,74.55
452,89.33,73.59
453,89.44,74.11
454,89.71,75.76
455,89.15,75.93
456,91.58,78.81
457,93.24,79.32
458,93.25,77.33
459,93.39,78.6
460,92.74,78.74
461,93.71,80.1
462,94.78,78.92
463,95.99,81.48
464,96.18,80.42
465,97.24,81.32
466,95.18,79.4
467,97.72,83.3
468,96.5,83.89
469,96.09,83.73
470,95.87,85.63
471,95.99,86.34
472,97.01,86.92
473,98.34,87.21
474,98.71,86.51
475,99.17,83.3
476,96.5,85.8
477,93.04,82.29
478,89.91,81.3
479,90.1,80.26
480,92.73,81.47
481,93.8,84.81
482,93.46,85.73
483,91.88,84.37
484,90.41,81.36
485,86.86,81.06
486,89.27,83.78
487,89.42,83.65
488,90.25,84.88
489,91.17,86.93
490,90.35,87.19
491,92.29,88.9
492,91.77,88.18
493,91.3,88.48
494,91.11,89.64
495,91.66,91.44
496,93.27,92.15
497,92.56,92.37
498,90.62,93.79
499,90.25,94.38
500,90.27,95.08
501,89.22,95.18
502,87.22,93.2
503,87.27,95.66
504,87.69,95.69
505,85.81,92.99
506,86.65,92.5
507,83.99,90.38
508,84.58,93.4
509,86.27,96.74
510,86.63,98.38
511,85.82,99.8
512,87.24,100.66
513,87.42,102.12
514,86.99,100.11
515,85.39,101.71
516,85.2,100.22
517,87.0,100.21
518,89.1,102.27
519,89.39,102.8
520,90.9,104.3
521,91.96,108.31
522,90.98,105.63
523,91.23,106.95
524,89.36,104.26
525,89.14,105.92
526,86.51,102.26
527,87.45,103.06
528,87.96,103.05
529,86.88,100.65
530,86.65,98.98
531,86.45,103.95
532,89.06,112.17
533,87.99,109.05
534,85.55,107.02
535,87.02,110.99
536,85.6,111.27
537,85.83,109.2
538,87.01,108.99
539,87.25,108.68
540,88.28,110.89
541,88.42,106.91
542,88.95,109.14
543,87.09,110.92
544,87.47,110.95
545,87.42,108.5
546,90.61,113.12
547,91.47,113.75
548,91.4,113.66
549,92.66,114.59
550,93.17,116.84
551,92.06,116.82
552,91.23,114.95
553,90.86,109.92
554,91.5,109.65
555,93.53,114.34
556,95.16,117.39
557,95.91,117.48
558,96.17,112.39
559,94.44,109.25
560,94.22,105.53
561,94.17,104.44
562,95.12,106.67
563,93.06,103.32
564,90.57,100.02
565,91.33,101.46
566,91.69,99.27
567,91.73,100.54
568,90.59,98.04
569,89.52,102.13
570,90.08,99.99
571,89.57,101.04
572,88.14,97.52
573,86.08,95.59
574,86.64,95.42
575,86.09,96.44
576,84.43,92.68
577,81.13,92.51
578,80.52,91.49
579,81.56,93.75
580,79.35,92.74
581,77.63,91.8
582,78.8,91.26
583,80.43,92.74
584,80.06,93.98
585,82.3,98.21
586,81.08,92.54
587,80.93,93.1
588,81.23,93.9
589,81.36,95.66
590,82.18,93.39
591,81.71,92.87
592,79.2,89.19
593,78.89,88.44
594,78.39,87.02
595,78.98,86.06
596,78.86,85.93
597,76.49,82.35
598,74.22,82.97
599,73.08,81.49
600,75.55,81.49
601,77.56,76.3
602,76.79,74.99
603,85.46,77.5
604,82.8,79.17
605,85.98,82.63
606,89.18,87.62
607,88.32,86.13
608,86.71,84.86
609,86.45,86.69
610,86.64,86.21
611,89.57,77.09
612,85.07,82.01
613,85.97,79.59
614,82.33,75.82
615,82.59,75.25
616,84.28,71.61
617,87.27,72.49
618,89.42,72.26
619,89.9,69.6
620,83.22,66.5
621,81.99,67.78
622,82.2,65.03
623,83.31,60.73
624,79.29,59.34
625,77.21,59.37
626,78.5,61.8
627,76.03,58.77
628,71.71,54.93
629,70.65,56.6
630,72.21,53.0
631,72.18,50.85
632,73.79,53.22
633,74.0,55.68
634,72.71,54.0
635,71.34,55.59
636,71.1,52.49
637,75.48,57.38
638,72.8,53.84
639,72.22,50.15
640,72.5,50.04
641,73.58,51.23
642,72.05,48.11
643,70.0,45.75
644,72.15,49.0
645,73.3,46.18
646,72.65,45.16
647,72.51,44.77
648,72.26,43.26
649,73.45,39.55
650,78.85,41.0
651,80.91,44.13
652,80.87,41.36
653,80.38,44.54
654,80.31,42.09
655,75.65,39.89
656,76.95,38.5
657,76.18,38.05
658,75.5,35.41
659,74.52,34.25
660,76.2,36.12
661,76.33,34.45
662,79.75,35.81
663,80.65,38.64
664,80.81,38.1
665,82.6,36.84
666,84.46,36.44
667,85.43,34.81
668,83.87,32.73
669,82.63,33.06
670,83.46,30.63
671,82.63,30.0
672,83.46,29.02
673,85.6,29.1
674,86.35,30.92
675,85.9,30.2
676,86.52,33.1
677,86.23,35.63
678,84.48,37.3
679,85.13,37.25
680,82.75,33.27
681,84.46,33.2
682,83.92,32.37
683,80.76,30.65
684,80.88,31.84
685,79.79,31.23
686,80.39,30.18
687,82.71,29.86
688,84.52,28.66
689,84.15,31.03
690,84.58,30.02
691,88.53,32.33
692,88.95,32.14
693,88.38,29.5
694,87.42,29.75
695,89.5,29.22
696,91.31,29.22
697,88.84,28.4
698,88.47,28.87
699,89.18,28.27
700,90.12,28.81
701,89.59,28.2
702,88.32,28.25
703,90.21,26.91
704,92.29,26.08
705,93.17,26.13
706,92.55,25.6
707,95.45,23.46
708,96.91,22.86
709,95.77,24.28
710,97.8,24.35
711,97.73,23.32
712,94.73,24.44
713,93.15,26.0
714,93.06,27.23
715,92.63,27.05
716,90.93,24.48
717,90.04,25.39
718,88.99,27.61
719,91.99,26.56
720,92.29,27.99
721,90.57,28.65
722,88.14,27.83
723,89.22,26.3
724,91.1,28.23
725,91.3,27.63
726,90.8,28.25
727,90.04,29.44
728,93.09,29.61
729,94.35,30.36
730,93.59,30.76
731,92.08,31.78
732,90.95,31.61
733,91.98,31.21
734,91.93,32.02
735,90.69,30.75
736,89.98,28.7
737,90.28,29.05
738,91.03,28.58
739,88.8,30.98
740,87.59,30.93
741,85.27,30.23
742,86.74,28.94
743,86.61,29.49
744,86.31,30.69
745,87.88,29.68
746,87.37,29.21
747,87.5,29.31
748,85.81,29.29
749,85.22,29.45
750,86.95,27.22
751,86.89,27.33
752,87.38,27.34
753,88.8,27.88
754,89.72,28.9
755,89.01,28.08
756,87.75,27.85
757,88.33,28.56
758,87.27,28.63
759,86.95,29.62
760,88.64,30.56
761,88.25,30.15
762,89.54,31.43
763,89.44,31.49
764,89.98,32.49
765,89.69,32.29
766,90.7,32.63
767,91.09,32.19
768,91.03,32.4
769,91.55,31.3
770,90.36,32.71
771,90.96,32.79
772,92.25,33.87
773,93.85,33.38
774,94.15,33.7
775,93.76,34.11
776,93.45,34.58
777,94.24,35.34
778,96.2,36.4
779,95.73,37.43
780,96.36,37.61
781,94.41,36.25
782,96.23,37.69
783,93.71,37.4
784,93.56,37.54
785,93.83,38.19
786,93.86,38.97
787,93.7,39.68
788,92.17,39.43
789,91.1,38.52
790,91.93,38.51
791,92.35,38.7
792,91.61,38.85
793,91.9,37.97
794,90.54,36.25
795,90.92,37.41
796,91.45,37.09
797,92.31,38.05
798,92.29,37.51
799,92.04,38.67
800,91.18,37.93
801,92.39,37.46
802,91.25,36.05
803,90.76,34.71
804,90.71,33.81
805,89.27,32.57
806,89.51,32.77
807,89.58,32.38
808,90.19,32.37
809,90.81,32.11
810,92.24,33.47
811,91.98,33.56
812,91.93,34.24
813,93.28,34.83
814,93.13,34.94
815,93.44,34.81
816,93.26,35.79
817,93.41,36.22
818,93.71,36.32
819,92.11,35.76
820,91.2,33.47
821,91.62,35.49
822,93.35,36.81
823,93.87,37.92
824,94.68,37.97
825,94.78,38.2
826,94.6,38.27
827,93.75,37.65
828,92.93,37.71
829,92.79,36.86
830,92.95,37.35
831,93.72,37.8
832,93.0,36.03
833,91.61,35.52
834,92.06,36.86
835,92.53,38.12
836,92.27,37.67
837,93.65,38.23
838,92.34,38.3
839,92.76,37.17
840,92.79,36.95
841,93.19,37.72
842,93.87,37.66
843,93.4,36.05
844,93.9,35.27
845,96.19,35.18
846,97.46,35.32
847,97.53,35.13
848,97.43,36.94
849,97.08,36.94
850,97.7,37.37
851,98.78,35.82
852,97.96,35.71
853,98.9,36.7
854,99.91,37.43
855,99.34,37.49
856,98.67,37.12
857,98.36,35.85
858,99.67,36.98
859,98.83,35.13
860,97.55,33.97
861,97.0,34.0
862,97.05,34.51
863,97.43,34.31
864,98.85,36.19
865,97.89,36.23
866,98.37,35.87
867,99.82,36.18
868,102.28,36.54
869,102.36,35.96
870,103.64,36.68
871,102.84,37.16
872,103.56,37.69
873,104.26,38.15
874,104.18,38.61
875,102.86,39.91
876,103.18,40.45
877,104.23,40.76
878,103.42,40.39
879,103.75,41.33
880,103.92,41.47
881,103.49,40.91
882,101.86,40.13
883,101.85,40.59
884,100.73,39.46
885,102.69,40.9
886,102.53,39.32
887,103.95,39.97
888,106.46,40.62
889,107.1,40.99
890,106.98,40.8
891,107.43,39.7
892,108.19,40.5
893,108.39,40.41
894,109.6,40.55
895,108.21,39.27
896,109.74,39.12
897,111.63,40.29
898,111.97,40.48
899,112.25,40.67
900,112.3,39.66
901,112.94,39.42
902,114.29,39.38
903,114.73,38.58
904,116.62,39.5
905,115.06,38.5
906,115.64,39.15
907,117.38,39.62
908,119.18,38.84
909,118.7,38.52
910,113.75,38.33
911,113.11,37.49
912,110.95,36.85
913,110.84,35.87
914,110.82,35.73
915,109.32,35.48
916,110.24,35.58
917,110.21,35.93
918,111.59,36.74
919,107.34,36.36
920,108.95,36.66
921,106.95,36.16
922,106.17,36.56
923,106.55,37.74
924,108.36,38.2
925,108.55,38.86
926,107.47,38.84
927,106.93,39.14
928,107.31,39.28
929,109.8,40.27
930,109.7,40.41
931,111.51,40.97
932,110.82,40.72
933,111.37,40.93
934,112.85,40.54
935,110.49,39.63
936,111.54,39.21
937,112.03,39.06
938,110.86,38.4
939,111.52,38.93
940,108.94,37.89
941,107.37,37.24
942,107.17,36.34
943,107.48,36.81
944,107.56,36.5
945,106.53,36.08
946,106.48,36.16
947,105.96,35.64
948,108.35,36.72
949,109.13,37.53
950,108.7,37.65
951,104.37,35.8
952,104.68,35.21
953,104.04,35.09
954,105.41,36.21
955,105.12,36.51
956,107.13,36.78
957,107.04,36.31
958,109.62,37.79
959,109.25,37.97
960,109.98,38.73
961,109.47,39.09
962,109.07,39.03
963,107.89,38.33
964,107.36,38.99
965,108.31,38.11
966,109.43,38.82
967,109.43,38.35
968,111.02,38.8
969,111.63,39.4
970,110.83,39.15
971,110.81,39.85
972,109.88,39.79
973,109.72,39.55
974,108.47,39.9
975,108.6,40.05
976,107.95,39.51
977,108.36,38.83
978,110.4,39.79
979,109.59,40.23
980,110.34,39.92
981,108.28,39.2
982,107.75,39.56
983,108.32,39.7
984,106.3,38.94
985,106.78,38.9
986,108.59,38.83
987,108.75,39.96
988,107.97,39.95
989,108.95,40.29
990,110.26,41.24
991,110.89,42.07
992,111.03,42.02
993,112.49,41.52
994,112.65,41.44
995,113.64,41.17
996,113.01,40.93
997,112.69,40.89
998,113.03,41.76
999,113.65,41.71
1000,111.24,40.6
1001,111.15,40.11
1002,111.46,40.3
1003,112.31,40.27
1004,111.84,40.3
1005,113.19,40.95
1006,112.75,40.35
1007,114.63,39.37
1008,114.31,39.97
1009,114.28,41.04
1010,115.36,41.33
1011,115.73,41.46
1012,114.87,39.7
1013,115.09,38.31
1014,118.49,36.96
1015,118.27,36.31
1016,117.57,37.23
1017,120.66,36.76
1018,121.4,36.77
1019,120.56,36.13
1020,120.37,34.81
1021,119.36,33.88
1022,119.49,33.47
1023,116.63,33.51
1024,115.84,32.2
1025,115.22,32.27
1026,116.84,32.17
1027,117.36,31.85
1028,118.47,32.59
1029,118.69,34.31
1030,118.88,34.04
1031,119.91,33.18
1032,119.78,33.79
1033,117.96,34.26
1034,119.19,32.68
1035,121.49,32.59
1036,121.0,33.19
1037,120.56,33.95
1038,118.97,34.77
1039,120.01,34.23
1040,119.6,34.33
1041,120.99,35.23
1042,120.33,35.49
1043,121.9,35.14
1044,122.83,35.41
1045,120.39,35.33
1046,121.45,35.0
1047,120.95,34.24
1048,121.3,34.39
1049,122.76,35.66
1050,121.09,35.21
1051,121.27,34.17
1052,121.68,33.96
1053,117.04,32.87
1054,118.49,32.6
1055,116.51,32.61
1056,117.73,33.65
1057,117.21,34.23
1058,118.36,34.34
1059,117.34,33.78
1060,118.36,34.74
1061,118.3,34.66
1062,118.23,34.58
1063,116.67,34.16
1064,115.73,34.46
1065,116.65,34.82
1066,115.85,34.2
1067,116.86,35.42
1068,116.09,35.39
1069,115.52,35.35
1070,113.51,34.67
1071,113.78,34.36
1072,114.29,35.06
1073,115.49,35.34
1074,115.54,36.48
1075,115.99,36.91
1076,116.72,36.9
1077,116.98,36.71
1078,117.84,36.2
1079,117.4,36.53
1080,117.73,35.87
1081,117.34,34.74
1082,118.77,33.92
1083,118.74,33.79
1084,119.73,33.61
1085,119.75,33.87
1086,120.22,33.68
1087,120.39,33.25
1088,119.97,32.95
1089,119.78,32.43
1090,120.36,31.77
1091,121.36,32.37
1092,120.96,32.62
1093,121.01,33.57
1094,120.91,33.02
1095,122.08,31.92
1096,121.69,32.95
1097,122.29,33.39
1098,121.86,33.09
1099,122.7,32.77
1100,122.71,33.14
1101,121.56,32.89
1102,121.73,33.77
1103,121.62,34.03
1104,124.02,33.89
1105,123.94,33.49
1106,124.63,32.98
1107,124.54,32.65
1108,124.87,33.22
1109,126.01,32.65
1110,126.2,32.58
1111,126.3,32.67
1112,126.69,33.4
1113,126.72,33.24
1114,127.85,33.19
1115,127.95,33.94
1116,127.91,34.84
1117,128.91,35.63
1118,128.46,35.59
1119,130.99,36.09
1120,131.81,36.28
1121,130.37,35.46
1122,131.66,36.15
1123,132.29,35.6
1124,131.96,35.65
1125,134.07,36.16
1126,134.75,36.0
1127,133.68,35.47
1128,134.28,36.28
1129,130.11,34.62
1130,131.32,35.59
1131,129.47,34.85
1132,129.73,35.49
1133,130.85,35.57
1134,130.88,35.68
1135,129.52,35.42
1136,131.24,35.39
1137,132.62,35.17
1138,131.92,35.81
1139,132.49,36.27
1140,131.57,36.74
1141,136.03,37.49
1142,136.38,37.65
1143,137.78,37.53
1144,135.59,37.05
1145,137.24,38.04
1146,137.66,37.84
1147,133.69,36.47
1148,132.42,36.5
1149,130.97,35.45
1150,130.38,34.73
1151,132.09,35.5
1152,132.2,35.22
1153,133.48,35.05
1154,134.41,34.95
1155,134.18,36.08
1156,133.11,35.97
1157,133.51,36.78
1158,135.42,36.04
1159,135.38,37.2
1160,135.2,37.77
1161,138.07,38.31
1162,139.11,38.22
1163,136.5,37.8
1164,134.79,37.96
1165,135.37,37.94
1166,135.41,37.66
1167,136.05,37.89
1168,136.18,37.9
1169,134.7,37.99
1170,133.81,37.77
1171,134.2,37.81
1172,135.11,38.05
1173,135.32,38.29
1174,135.05,38.64
1175,134.66,38.98
1176,135.02,38.71
1177,137.22,38.91
1178,137.71,38.82
1179,137.03,38.12
1180,138.72,39.0
1181,138.0,39.05
1182,134.75,38.08
1183,134.37,38.52
1184,133.83,37.68
1185,133.58,37.67
1186,134.12,38.17
1187,134.91,38.88
1188,135.46,38.99
1189,134.05,38.65
1190,132.69,38.92
1191,133.43,38.73
1192,133.72,38.54
1193,131.2,37.57
1194,131.03,37.51
1195,130.36,36.93
1196,130.1,36.27
1197,131.16,36.85
1198,127.93,35.94
1199,130.28,37.58
1200,129.87,38.61
1201,130.8,38.07
1202,130.45,38.18
1203,132.2,38.09
1204,131.66,37.34
1205,131.68,36.66
1206,133.14,36.64
1207,133.07,36.5
1208,132.85,36.54
1209,132.32,36.05
1210,132.95,35.88
1211,133.97,35.39
1212,134.1,35.53
1213,135.04,36.06
1214,135.41,36.36
1215,136.29,38.49
1216,137.51,39.8
1217,136.48,38.97
1218,137.38,39.68
1219,137.66,39.19
1220,140.03,40.48
1221,139.92,41.39
1222,138.09,41.18
1223,139.35,42.33
1224,139.72,42.37
1225,139.36,42.31
1226,139.41,42.05
1227,137.77,41.4
1228,138.22,40.69
1229,138.86,40.91
1230,136.27,39.39
1231,136.24,39.68
1232,136.97,40.69
1233,138.37,40.97
1234,139.14,41.13
1235,139.05,41.93
1236,140.34,42.11
1237,139.22,42.05
1238,139.26,42.18
1239,138.54,41.42
1240,138.21,41.83
1241,138.67,41.66
1242,139.86,42.6
1243,139.2,43.17
1244,139.84,43.26
1245,142.05,43.1
1246,142.38,43.37
1247,142.51,43.99
1248,143.66,45.15
1249,142.64,43.64
1250,141.61,42.3
1251,141.9,42.75
1252,143.81,43.28
1253,145.05,43.71
1254,145.93,42.88
1255,145.93,42.95
1256,146.5,44.22
1257,146.74,44.57
1258,146.87,44.53
1259,146.38,44.48
1260,149.2,45.02
1261,149.82,44.83
1262,152.37,45.15
1263,150.41,44.93
1264,149.88,44.08
1265,147.73,43.26
1266,143.47,39.32
1267,145.3,38.87
1268,147.38,40.87
1269,147.9,41.08
1270,146.54,39.35
1271,146.59,39.28
1272,145.63,39.44
1273,145.37,38.51
1274,144.74,38.55
1275,145.6,39.5
1276,145.65,39.07
1277,147.49,39.47
1278,147.83,38.47
1279,148.59,39.28
1280,148.58,39.93
1281,148.22,39.6
1282,149.7,39.71
1283,149.64,40.5
1284,149.91,39.52
1285,149.5,39.68
1286,150.22,39.66
1287,150.48,39.0
1288,150.42,39.05
1289,149.81,39.85
1290,150.56,40.14
1291,149.24,39.07
1292,147.77,38.26
1293,148.67,39.1
1294,149.12,37.58
1295,148.97,37.42
1296,149.94,36.63
1297,150.03,36.72
1298,150.76,36.79
1299,150.99,37.1
1300,148.34,36.01
1301,146.26,35.81
1302,145.73,35.64
1303,146.24,36.42
1304,147.18,37.23
1305,146.0,37.24
1306,144.93,37.15
1307,147.63,37.96
1308,148.91,37.89
1309,149.15,38.61
1310,150.25,37.8
1311,151.59,37.29
1312,152.77,37.93
1313,154.14,38.35
1314,154.54,37.55
1315,155.2,38.13
1316,156.57,37.59
1317,154.66,38.25
1318,156.02,38.4
1319,154.83,38.72
1320,156.12,38.93
1321,157.34,38.68
1322,157.77,38.81
1323,157.19,37.97
1324,157.32,37.91
1325,158.29,37.42
1326,157.72,37.2
1327,161.52,36.4
1328,161.49,35.86
1329,160.64,33.73
1330,161.75,33.95
1331,167.12,31.51
1332,168.61,31.62
1333,174.58,31.78
1334,170.75,33.3
1335,169.97,33.23
1336,171.8,34.22
1337,173.92,33.83
1338,174.42,34.01
1339,177.72,31.72
1340,179.95,32.12
1341,184.59,32.72
1342,177.67,33.42
1343,171.65,33.08
1344,172.36,32.97
1345,177.47,33.15
1346,173.89,33.96
1347,179.1,34.44
1348,177.72,34.51
1349,177.87,34.47
1350,183.24,33.64
1351,182.9,33.59
1352,177.08,34.69
1353,181.81,34.46
1354,180.7,33.85
1355,176.67,34.42
1356,178.54,34.85
1357,177.21,34.34
1358,174.4,34.6
1359,176.03,34.14
1360,173.31,33.29
1361,175.78,33.43
