date,op,hi,lo,cl
20050526,26230,26400,26220,26400
20050527,26420,26420,26280,26380
20050530,26360,26600,26340,26600
20050531,26580,26640,26480,26630
20050601,26580,27050,26580,27050
20050602,26850,27030,26850,27030
20050603,26990,27020,26720,26930
20050606,26830,26900,26690,26890
20050607,26800,27160,26800,27050
20050608,26970,27020,26970,26970
20050609,26920,27120,26870,27120
20050610,27180,27180,27160,27180
20050613,27280,27350,27130,27230
20050614,27260,27510,27260,27440
20050615,27440,27450,27210,27250
20050616,27370,27440,27300,27410
20050617,27470,27630,27410,27550
20050620,27350,27570,27310,27540
20050621,27570,27680,27540,27680
20050622,27760,27770,27600,27720
20050623,27760,27870,27710,27710
20050624,27730,27730,27510,27560
20050627,27160,27420,27160,27210
20050628,27410,27650,27390,27650
20050629,27690,27750,27570,27630
20050630,27590,27680,27490,27620
20050701,27460,27800,27430,27800
20050704,27710,27940,27700,27940
20050705,27950,27950,27710,27930
20050706,27930,28100,27930,28060
20050707,27930,27930,26590,27660
20050708,27730,28030,27640,28030
20050711,27970,28050,27930,27980
20050712,27970,27970,27770,27970
20050713,27920,28100,27890,28100
20050714,28210,28450,28210,28330
20050715,28340,28340,28120,28220
20050718,28180,28300,28090,28220
20050719,28200,28370,28140,28330
20050720,28330,28340,28000,28250
20050721,28220,28290,27810,28080
20050722,28040,28110,27880,28090
20050725,28150,28290,28090,28090
20050726,28160,28380,28160,28250
20050727,28320,28400,28270,28400
20050728,28450,28580,28340,28580
20050729,28580,28640,28400,28510
20050801,28480,28570,28460,28500
20050802,28510,28860,28500,28730
20050803,28750,28790,28610,28670
20050804,28600,28620,28180,28230
20050805,28260,28480,28220,28220
20050808,28380,28550,28340,28350
20050809,28450,28710,28440,28620
20050810,28870,29040,28810,28940
20050811,28890,28990,28810,28830
20050812,28970,28970,28690,28780
20050815,28810,28960,28780,28960
20050816,28920,28940,28620,28620
20050817,28630,28800,28560,28800
20050818,28690,28720,28510,28650
20050819,28590,28920,28580,28920
20050822,28920,28960,28780,28780
20050823,28710,28720,28540,28540
20050824,28480,28540,28300,28460
20050825,28240,28280,28110,28170
20050826,28170,28300,27880,27880
20050829,27740,28190,27740,28120
20050830,28100,28160,28000,28050
20050831,28120,28320,28120,28320
20050901,28450,28630,28380,28480
20050902,28510,28560,28350,28420
20050905,28450,28640,28430,28530
20050906,28690,28940,28680,28830
20050907,29040,29060,28990,29060
20050908,29010,29030,28950,28950
20050909,29060,29140,29060,29060
20050912,29110,29200,29110,29180
20050913,29130,29140,28930,28930
20050914,29010,29070,28970,29070
20050915,29130,29170,29050,29050
20050916,29730,29730,29100,29350
20050919,29090,29440,29090,29380
20050920,29460,29560,29330,29340
20050921,29210,29310,28830,28970
20050922,29000,29030,28810,28960
20050923,28990,29290,28970,29210
20050926,29390,29610,29360,29610
20050927,29520,29570,29430,29500
20050928,29630,29800,29630,29680
20050929,29740,29830,29620,29830
20050930,29870,29870,29640,29780
20051003,29840,30030,29820,29970
20051004,30000,30110,29900,29950
20051005,29780,30000,29570,29600
20051006,29340,29370,29040,29040
20051007,29090,29280,29090,29150
20051010,29290,29360,29180,29230
20051011,29300,29460,29220,29300
20051012,29070,29260,29020,29020
20051013,29020,29070,28620,28620
20051014,28810,28980,28640,28830
20051017,29010,29020,28790,28820
20051018,28960,29030,28810,28810
20051019,28640,28710,28360,28580
20051020,28850,28860,28430,28430
20051021,28370,28500,28300,28400
20051024,28440,28800,28370,28780
20051025,28850,28860,28300,28300
20051026,28600,28850,28590,28590
20051027,28520,28610,28300,28300
20051028,28320,28580,28100,28580
20051031,28800,29100,28800,29000
20051101,29040,29180,28970,28970
20051102,28970,29340,28970,29280
20051103,29380,29730,29340,29520
20051104,29690,29770,29570,29570
20051107,29710,29830,29530,29760
20051108,29870,29960,29730,29750
20051109,29870,29990,29730,29790
20051110,29880,29920,29700,29920
20051111,30100,30100,29940,30100
20051114,30050,30200,29940,30150
20051115,30010,30070,29820,29900
20051116,29880,29880,29510,29670
20051117,29920,29950,29710,29810
20051118,30080,30140,29920,29920
20051121,29950,30140,29840,30080
20051122,30120,30180,30060,30130
20051123,30160,30360,30090,30270
20051124,30300,30310,30080,30170
20051125,30170,30310,30170,30260
20051128,30400,30460,29830,29980
20051129,29960,30160,29770,30000
20051130,29930,29990,29670,29860
20051201,29960,30410,29960,30350
20051202,30530,30610,30380,30550
20051205,30550,30610,30340,30420
20051206,30440,30700,30430,30670
20051207,30660,30750,30550,30550
20051208,30400,30560,30320,30540
20051209,30500,30520,30410,30490
20051212,30670,30700,30390,30420
20051213,30500,30650,30400,30540
20051214,30460,30550,30320,30390
20051215,30430,30460,30210,30260
20051216,30360,30590,30360,30480
20051219,30420,30490,30380,30380
20051220,30290,30560,30280,30490
20051221,30600,30740,30600,30690
20051222,30690,30690,30480,30540
20051223,30670,30680,30540,30590
20051227,30550,30710,30550,30640
20051228,30560,30700,30500,30570
20051229,30640,30790,30640,30750
20051230,30640,30670,30350,30450
20060102,30600,30690,30560,30680
20060103,30610,31160,30610,30820
20060104,31080,31240,30940,31150
20060105,31130,31190,31030,31070
20060106,31270,31430,31080,31350
20060109,31480,31530,31400,31480
20060110,31350,31380,31140,31170
20060111,31360,31380,31190,31320
20060112,31280,31470,31260,31430
20060113,31320,31340,31080,31210
20060116,31180,31290,31100,31290
20060117,30980,31060,30950,30970
20060118,30400,30770,30400,30610
20060119,30850,30870,30600,30710
20060120,30790,30890,30230,30450
20060123,30070,30380,30020,30370
20060124,30380,30440,30170,30210
20060125,30310,30610,30310,30590
20060126,30630,31040,30630,30930
20060127,31330,31430,31170,31410
20060130,31310,31470,31290,31390
20060131,31480,31640,31340,31480
20060201,31370,31810,31360,31690
20060202,31810,31810,31180,31220
20060203,31330,31370,31160,31250
20060206,31350,31470,31220,31270
20060207,31350,31360,30930,31170
20060208,30860,31230,30760,31100
20060209,31300,31530,31260,31470
20060210,31430,31560,31280,31300
20060213,31310,31570,31240,31500
20060214,31590,31740,31320,31520
20060215,31510,31650,31410,31510
20060216,31600,31780,31480,31720
20060217,31710,31870,31650,31750
20060220,31710,31880,31670,31820
20060221,31940,32050,31840,31950
20060222,31850,32140,31820,32110
20060223,32140,32190,31930,32050
20060224,32120,32160,32010,32110
20060227,32210,32210,32020,32170
20060228,32120,32150,31630,31680
20060301,31720,32020,31680,31960
20060302,32060,32090,31480,31580
20060303,31600,31810,31400,31620
20060306,31890,31970,31610,31850
20060307,31640,31760,31490,31750
20060308,31440,31610,31420,31580
20060309,31830,31830,31760,31790
20060310,31760,32160,31750,32100
20060313,32200,32340,32190,32340
20060314,32400,32430,32330,32360
20060315,32510,32550,32400,32430
20060316,32350,32430,32250,32380
20060317,32510,32610,32190,32250
20060320,32440,32570,32250,32300
20060321,32290,32500,32030,32340
20060322,32160,32470,32150,32450
20060323,32500,32510,32270,32390
20060324,32440,32590,32400,32530
20060327,32480,32560,32150,32190
20060328,32230,32330,31930,32070
20060329,32070,32170,31990,32090
20060330,32300,32520,32190,32440
20060331,32290,32380,32040,32110
20060403,32280,32480,32230,32410
20060404,32310,32310,32090,32120
20060405,32250,32360,32000,32280
20060406,32450,32450,32240,32370
20060407,32410,32590,32120,32250
20060410,32250,32540,32250,32520
20060411,32520,32520,31970,32170
20060412,32120,32240,31950,32120
20060413,32200,32290,32050,32270
20060418,32220,32420,32100,32200
20060419,32680,32690,32400,32580
20060420,32650,32820,32560,32640
20060421,32730,32900,32730,32880
20060424,32750,32820,32640,32650
20060425,32750,32840,32550,32640
20060426,32680,32740,32590,32660
20060427,32630,32630,32270,32570
20060428,32740,32740,32360,32480
20060502,32460,32900,32460,32850
20060503,32990,33030,32390,32470
20060504,32510,32650,32350,32580
20060505,32650,33000,32610,32960
20060508,33160,33210,32910,32940
20060509,32970,33170,32900,33130
20060510,33160,33190,32860,32870
20060511,32980,33190,32500,32780
20060512,32530,32610,31930,32050
20060515,31880,31940,31380,31730
20060516,31580,32040,31540,31860
20060517,32050,32050,30690,30810
20060518,31020,31200,30500,30930
20060519,30890,31090,30730,30890
20060522,30640,30710,30010,30120
20060523,30390,30980,30350,30780
20060524,30470,30640,30130,30350
20060525,30460,31060,30170,30830
20060526,31150,31330,30920,31290
20060529,31260,31280,31170,31220
20060530,31190,31240,30480,30510
20060531,30270,30950,30120,30910
20060601,30800,31190,30590,30990
20060602,31100,31650,30910,31010
20060605,30940,31040,30460,30860
20060606,30460,30630,30220,30350
20060607,30310,30710,30240,30640
20060608,29760,30220,29740,29790
20060609,29990,30400,29990,30330
20060612,30230,30410,29750,30000
20060613,29380,29550,29120,29360
20060614,29370,29560,29150,29410
20060615,29540,30180,29540,30050
20060616,30480,30480,29700,29730
20060619,29930,30240,29700,30000
20060620,29740,30320,29700,30240
20060621,30270,30490,29830,30230
20060622,30560,30610,30130,30360
20060623,30330,30530,30180,30360
20060626,30540,30570,30150,30230
20060627,30550,30550,29730,29980
20060628,29760,30220,29740,30070
20060629,30210,31190,30210,30600
20060630,31110,31200,30800,31110
20060703,31330,31370,31070,31240
20060704,31330,31400,31110,31330
20060705,31140,31190,30870,30960
20060706,31130,31370,31020,31320
20060707,31160,31450,31000,31220
20060710,31260,31460,31060,31420
20060711,31210,31370,31020,31090
20060712,31200,31430,30880,31100
20060713,30920,30920,30300,30620
20060714,30290,30580,30160,30220
20060717,30250,30280,29850,30150
20060718,30130,30350,29940,30140
20060719,30240,30960,30160,30830
20060720,30940,31080,30640,30830
20060721,30680,30790,30450,30540
20060724,30690,31370,30680,31220
20060725,31330,31510,31170,31210
20060726,31340,31480,31200,31290
20060727,31490,31690,31390,31680
20060728,31690,32040,31490,32000
20060731,31950,31950,31730,31770
20060801,31770,31840,31280,31360
20060802,31540,31870,31450,31740
20060803,31750,31750,31290,31480
20060804,31760,31930,31510,31900
20060807,31540,31620,31420,31460
20060808,31680,31700,31300,31510
20060809,31630,31920,31350,31850
20060810,31480,31720,31200,31600
20060811,31620,31770,31450,31600
20060814,31730,31930,31730,31910
20060815,31820,32350,31770,32300
20060816,32360,32430,32150,32370
20060817,32360,32420,32240,32340
20060818,32310,32390,32200,32230
20060821,32210,32350,32090,32200
20060822,32550,32550,32100,32380
20060823,32340,32350,32090,32130
20060824,32180,32400,32000,32280
20060825,32290,32410,32220,32320
20060828,32270,32600,32160,32490
20060829,32510,32710,32430,32510
20060830,32590,32790,32540,32730
20060831,32750,32800,32510,32530
20060901,32600,32790,32560,32640
20060904,32710,32860,32700,32800
20060905,32790,32790,32550,32650
20060906,32580,32580,32200,32260
20060907,32030,32030,31860,31890
20060908,32070,32080,31910,32060
20060911,31840,31840,31620,31820
20060912,31900,32400,31880,32250
20060913,32310,32440,32240,32330
20060914,32440,32560,32210,32270
20060915,32300,32420,32160,32300
20060918,32330,32440,32200,32300
20060919,32310,32370,31890,32100
20060920,32030,32570,32010,32460
20060921,32550,32740,32330,32650
20060922,32350,32470,32140,32240
20060925,32360,32510,32070,32230
20060926,32440,32770,32370,32650
20060927,32850,32870,32630,32750
20060928,32720,32860,32670,32740
20060929,32810,32940,32700,32720
20061002,32900,32910,32600,32800
20061003,32670,32830,32470,32680
20061004,32700,33200,32650,32970
20061005,33290,33290,33070,33070
20061006,33100,33250,33020,33210
20061009,33110,33330,33100,33270
20061010,33380,33540,33330,33500
20061011,33430,33680,33330,33560
20061012,33560,33950,33560,33860
20061013,33950,34080,33790,33990
20061016,34040,34170,33930,34060
20061017,33970,34000,33620,33650
20061018,33760,34120,33760,33960
20061019,33800,34050,33730,33950
20061020,34080,34180,33920,34040
20061023,34140,34300,33910,34240
20061024,34200,34260,34080,34150
20061025,34130,34320,34120,34230
20061026,34420,34460,34120,34140
20061027,34200,34230,33900,34060
20061030,33800,33980,33740,33930
20061031,33780,34070,33710,33890
20061101,33910,34170,33780,34010
20061102,33870,34060,33720,33870
20061103,33960,34130,33790,33930
20061106,33970,34420,33970,34370
20061107,34370,34570,34360,34550
20061108,34410,34590,34300,34480
20061109,34520,34530,34230,34350
20061110,34250,34360,34130,34230
20061113,34200,34380,34110,34240
20061114,34280,34360,34020,34120
20061115,34370,34420,34200,34360
20061116,34240,34460,34220,34380
20061117,34300,34340,33980,34090
20061120,33930,34280,33830,34240
20061121,34210,34360,34190,34210
20061122,34340,34440,34070,34140
20061123,34210,34230,33910,34020
20061124,33970,33970,33510,33720
20061127,33590,33720,32940,33160
20061128,33100,33250,32950,33130
20061129,33320,33520,33200,33500
20061130,33580,33590,33130,33200
20061201,33330,33430,32660,32830
20061204,32870,33140,32770,33060
20061205,33160,33370,33010,33310
20061206,33300,33350,33140,33270
20061207,33230,33540,33230,33390
20061208,33240,33560,33220,33450
20061211,33650,33690,33520,33660
20061212,33650,33810,33600,33760
20061213,33780,34120,33730,34060
20061214,34240,34360,34120,34280
20061215,34430,34580,34310,34430
20061218,34160,34520,34160,34320
20061219,34160,34190,33970,34110
20061220,34250,34300,33960,34110
20061221,34000,34160,33850,34040
20061222,33960,34030,33700,33790
20061227,33910,34370,33900,34280
20061228,34370,34370,34190,34250
20061229,34260,34300,34060,34120
20070102,34390,34680,34360,34610
20070103,34650,34700,34310,34680
20070104,34360,34700,34360,34670
20070105,34430,34590,34250,34290
20070108,34410,34460,34120,34180
20070109,34390,34420,34030,34250
20070110,33940,34080,33810,33890
20070111,34050,34640,33940,34570
20070112,34490,34870,34460,34700
20070115,34880,35020,34840,34960
20070116,34930,34970,34710,34760
20070117,34670,34810,34470,34650
20070118,34790,34850,34420,34540
20070119,34520,34870,34320,34810
20070122,34840,34920,34470,34590
20070123,34650,34790,34430,34580
20070124,34730,35020,34690,34990
20070125,35070,35190,34640,34890
20070126,34710,34840,34550,34650
20070129,34700,34740,34490,34690
20070130,34620,34890,34560,34830
20070131,34820,34910,34540,34610
20070201,34960,35200,34870,35060
20070202,35110,35250,35030,35160
20070205,35080,35260,35060,35180
20070206,35260,35480,35260,35320
20070207,35380,35440,35270,35370
20070208,35300,35330,34950,35050
20070209,35210,35300,34850,35190
20070212,34960,35110,34930,35000
20070213,35060,35210,34970,35120
20070214,35280,35430,35110,35360
20070215,35430,35430,35180,35270
20070216,35180,35310,35150,35240
20070219,35280,35450,35270,35340
20070220,35380,35400,35070,35240
20070221,35340,35380,34860,34930
20070222,35120,35220,35020,35090
20070223,35110,35210,34920,35090
20070226,35210,35330,35130,35260
20070227,34980,34980,32850,34250
20070228,33500,33960,33370,33610
20070301,33380,33800,32690,33330
20070302,33260,33530,32620,33080
20070305,32370,32880,32250,32780
20070306,33020,33410,32780,33070
20070307,33280,33350,33280,33310
20070308,33380,33700,33380,33700
20070309,33530,33770,33450,33750
20070312,33770,33770,33530,33580
20070313,33430,33480,32510,33140
20070314,32430,32640,31830,32090
20070315,32650,32720,32310,32630
20070316,32630,32840,32360,32620
20070319,33000,33210,32860,33200
20070320,33140,33550,33030,33470
20070321,33400,34060,33400,33580
20070322,34000,34330,34000,34230
20070323,34130,34520,34050,34490
20070326,34430,34480,33860,34040
20070327,34330,34330,33970,34000
20070328,33840,33980,33630,33760
20070329,33980,34180,33940,34170
20070330,34080,34280,33940,33990
20070402,33890,34170,33890,34100
20070403,34200,34600,34190,34430
20070404,34600,34620,34420,34570
20070405,34560,34720,34490,34610
20070410,34670,34940,34610,34840
20070411,34860,35100,34700,34880
20070412,34790,35000,34540,34760
20070413,34890,35160,34860,35070
20070416,35230,35610,35230,35590
20070417,35490,35720,35440,35700
20070418,35600,35670,35400,35510
20070419,35150,35520,35020,35360
20070420,35480,36040,35480,35910
20070423,36050,36050,35710,35860
20070424,35860,35860,35390,35590
20070425,35530,35920,35530,35750
20070426,36140,36170,35690,35790
20070427,35780,35780,35410,35540
20070430,35540,35750,35470,35630
20070502,35780,35850,35560,35780
20070503,35880,35960,35650,35950
20070504,35980,36270,35960,36220
20070507,36350,36350,36120,36210
20070508,36140,36140,35860,35930
20070509,36130,36220,35930,36080
20070510,36090,36100,35400,35760
20070511,35420,36060,35300,36010
20070514,36150,36190,35710,35860
20070515,35800,36060,35660,35970
20070516,35880,36000,35800,35850
20070517,35910,36030,35840,35960
20070518,36040,36460,36040,36370
20070521,36400,36580,36260,36330
20070522,36330,36420,36210,36280
20070523,36400,36630,36330,36580
20070524,36380,36630,36110,36230
20070525,36130,36470,36100,36330
20070529,36530,36530,36270,36460
20070530,36160,36800,36040,36430
20070531,36790,36840,36590,36610
20070601,36770,37050,36680,37000
20070604,36930,37040,36730,36920
20070605,36950,37010,36350,36770
20070606,36630,36750,36190,36240
20070607,36410,36410,35550,35800
20070608,35720,35980,35600,35830
20070611,36120,36300,36050,36120
20070612,36110,36270,35940,36030
20070613,35750,36450,35750,36120
20070614,36450,36760,36390,36660
20070615,36770,37310,36770,37190
20070618,37270,37370,37000,37130
20070619,37120,37210,36930,36970
20070620,37110,37300,36460,37140
20070621,36750,36960,36460,36730
20070622,36760,36760,36160,36530
20070625,36200,36650,36120,36550
20070626,36260,36500,36160,36330
20070627,36050,36420,35890,36180
20070628,36460,36710,36340,36470
20070629,36660,36720,36220,36700
20070702,36500,36650,36400,36620
20070703,36910,37000,36810,36910
20070704,36800,37040,36800,37000
20070705,37100,37100,36610,36730
20070706,36730,37120,36730,37020
20070709,37170,37240,37100,37160
20070710,37190,37290,36190,36730
20070711,36340,36540,36200,36530
20070712,36640,37220,36330,36950
20070713,37320,37320,37090,37160
20070716,37260,37340,37080,37210
20070717,37070,37120,36900,37030
20070718,36670,36840,36360,36550
20070719,36840,36990,36700,36820
20070720,36910,36960,36050,36300
20070723,36380,36600,36230,36550
20070724,36500,36610,35320,35990
20070725,35260,36020,35260,35610
20070726,35820,35920,33740,34550
20070727,34040,34800,34000,34310
20070730,34350,34670,34080,34300
20070731,34610,35110,34570,34990
20070801,34080,35060,33970,34440
20070802,34820,35080,34570,34810
20070803,34910,34940,34000,34340
20070806,33930,34570,33740,34010
20070807,34410,35060,34330,34660
20070808,34980,35550,34870,35410
20070809,35220,35250,34330,34700
20070810,33990,34170,33370,33520
20070813,33850,34480,33830,34400
20070814,34080,34430,33660,33810
20070815,33320,33940,33180,33930
20070816,33090,33270,32340,32770
20070817,32450,34060,32370,33720
20070820,33740,34170,33600,33810
20070821,33900,33970,33430,33770
20070822,34050,34340,34020,34280
20070823,34620,34690,34120,34330
20070824,34140,34520,34110,34360
20070827,34520,34540,34360,34390
20070828,34280,34300,33390,33690
20070829,33510,34320,33450,33940
20070830,34260,34400,33850,34320
20070831,34470,35020,34380,34750
20070903,34890,34970,34800,34840
20070904,34790,35340,34600,35210
20070905,35000,35210,34510,34580
20070906,34860,34900,34330,34690
20070907,34610,34850,33920,33940
20070910,34050,34200,33630,33670
20070911,33910,34440,33910,34310
20070912,34370,34370,34370,34370
20070913,34250,34850,34250,34800
20070914,34410,34430,34070,34380
20070917,33950,34120,33700,33930
20070918,33890,34480,33800,34460
20070919,35370,35640,35090,35460
20070920,35260,35290,35020,35230
20070921,35070,35520,35070,35280
20070924,35170,35440,35080,35360
20070925,35090,35120,34680,34920
20070926,35020,35260,35010,35080
20070927,35360,35470,35230,35330
20070928,35350,35420,35010,35280
20071001,34950,35780,34940,35540
20071002,35900,35900,35660,35710
20071003,35810,35840,35620,35760
20071004,35670,36010,35610,35800
20071005,35890,36210,35860,36040
20071008,36140,36140,35810,35920
20071009,35570,36080,35570,36040
20071010,36090,36110,35830,35980
20071011,36060,36350,35900,36240
20071012,35900,36330,35820,36260
20071015,36260,36370,35880,35960
20071016,35720,35770,35480,35560
20071017,35550,35910,35480,35700
20071018,35880,35930,35390,35430
20071019,35300,35430,34640,35170
20071022,34270,34920,34180,34740
20071023,34890,35210,34890,34970
20071024,35040,35100,34670,34770
20071025,35040,35320,34960,35110
20071026,35320,35610,35020,35400
20071029,35670,35760,35530,35630
20071030,35560,35630,35450,35460
20071031,35460,35950,35440,35790
20071101,35880,35880,34880,35140
20071102,34690,35020,34550,34810
20071105,34570,34670,34400,34600
20071106,34770,34860,34610,34690
20071107,34820,34920,34280,34490
20071108,33830,34520,33740,34330
20071109,34320,34530,33430,33700
20071112,33310,33860,33310,33820
20071113,33590,34500,33470,34040
20071114,34600,34600,34060,34270
20071115,34270,34320,33390,33860
20071116,33630,33770,33430,33590
20071119,33570,33720,32630,32860
20071120,33080,33280,32630,33220
20071121,32850,32870,32190,32350
20071122,32440,32780,32230,32640
20071123,32650,33270,32650,33250
20071126,33470,33530,32320,32930
20071127,32670,33070,32540,32930
20071128,33040,34090,32820,33790
20071129,33970,34140,33750,33990
20071130,34220,34570,34090,34440
20071203,34270,34530,34210,34300
20071204,34260,34290,33740,33800
20071205,33980,34620,33950,34500
20071206,34730,34950,34280,34470
20071207,34720,34910,34620,34760
20071210,34540,35070,34540,34970
20071211,35030,35030,34060,34740
