Date,pep,ko
2007-10-05,73.38,57.76
2007-10-04,73.51,57.56
2007-10-03,73.11,57.26
2007-10-02,73.4,57.61
2007-10-01,73.65,57.59
2007-09-28,72.9,57.16
2007-09-27,72.26,57.02
2007-09-26,71.88,57.04
2007-09-25,70.87,56.71
2007-09-24,70.9,56.39
2007-09-21,71.09,56.24
2007-09-20,70.68,56.01
2007-09-19,70.76,56.31
2007-09-18,70.53,56.11
2007-09-17,69.46,54.98
2007-09-14,69.22,56.1
2007-09-13,69.54,55.57
2007-09-12,69.24,55.54
2007-09-11,69.53,55.02
2007-09-10,68.13,53.94
2007-09-07,67.65,53.96
2007-09-06,68.22,54.03
2007-09-05,67.61,53.07
2007-09-04,67.9,53.75
2007-08-31,67.33,53.16
2007-08-30,67.16,52.79
2007-08-29,67.49,52.9
2007-08-28,66.81,52.65
2007-08-27,67.4,53.39
2007-08-24,67.52,53.38
2007-08-23,67.21,53.36
2007-08-22,68.09,53.33
2007-08-21,67.74,53.41
2007-08-20,67.9,53.89
2007-08-17,68.66,53.83
2007-08-16,67.66,52.97
2007-08-15,66.64,53.21
2007-08-14,66.47,53.52
2007-08-13,67.38,53.89
2007-08-10,67.25,54.35
2007-08-09,67.79,55.21
2007-08-08,69.22,55.22
2007-08-07,68.45,53.84
2007-08-06,67.8,53.61
2007-08-03,65.78,52.67
2007-08-02,66.12,53.04
2007-08-01,65.74,52.66
2007-07-31,64.94,51.51
2007-07-30,65.22,51.79
2007-07-27,64.98,51.68
2007-07-26,66.15,52.37
2007-07-25,67.61,53.43
2007-07-24,65.58,52.61
2007-07-23,65.9,53.02
2007-07-20,64.0,52.6
2007-07-19,64.79,53.08
2007-07-18,65.45,52.82
2007-07-17,65.71,52.56
2007-07-16,66.3,53.23
2007-07-13,66.16,52.5
2007-07-12,66.25,52.03
2007-07-11,65.43,51.49
2007-07-10,65.19,51.5
2007-07-09,65.37,52.1
2007-07-06,65.54,52.0
2007-07-05,65.23,52.07
2007-07-03,64.91,52.29
2007-07-02,64.63,51.96
2007-06-29,64.18,51.71
2007-06-28,64.58,52.03
2007-06-27,64.5,51.84
2007-06-26,63.99,51.35
2007-06-25,63.98,51.18
2007-06-22,64.19,51.03
2007-06-21,65.2,51.49
2007-06-20,64.84,50.9
2007-06-19,65.12,50.8
2007-06-18,65.9,51.17
2007-06-15,65.99,50.99
2007-06-14,66.2,50.72
2007-06-13,65.7,50.77
2007-06-12,65.35,50.22
2007-06-11,65.36,50.7
2007-06-08,65.92,50.74
2007-06-07,65.66,50.45
2007-06-06,66.37,51.06
2007-06-05,66.55,51.38
2007-06-04,67.23,51.72
2007-06-01,67.61,51.85
2007-05-31,67.25,52.03
2007-05-30,67.49,52.09
2007-05-29,67.4,51.24
2007-05-25,67.73,50.95
2007-05-24,67.37,50.32
2007-05-23,67.6,50.4
2007-05-22,67.58,50.55
2007-05-21,67.94,50.97
2007-05-18,68.38,51.68
2007-05-17,67.41,51.26
2007-05-16,67.55,51.79
2007-05-15,66.38,51.51
2007-05-14,65.73,51.65
2007-05-11,65.74,51.74
2007-05-10,65.3,51.53
2007-05-09,66.11,52.15
2007-05-08,66.09,52.11
2007-05-07,66.41,52.64
2007-05-04,66.35,52.25
2007-05-03,66.25,51.96
2007-05-02,65.96,51.76
2007-05-01,65.35,51.68
2007-04-30,65.04,51.25
2007-04-27,65.24,51.12
2007-04-26,65.36,51.14
2007-04-25,65.92,50.81
2007-04-24,65.36,50.78
2007-04-23,65.54,50.72
2007-04-20,65.6,51.15
2007-04-19,64.99,50.82
2007-04-18,64.88,50.73
2007-04-17,64.76,50.64
2007-04-16,63.54,49.36
2007-04-13,63.38,48.98
2007-04-12,63.15,48.77
2007-04-11,62.21,48.74
2007-04-10,62.41,49.18
2007-04-09,61.99,48.73
2007-04-05,62.67,48.63
2007-04-04,62.72,48.57
2007-04-03,62.4,48.11
2007-04-02,62.39,47.64
2007-03-30,62.55,47.13
2007-03-29,62.58,47.24
2007-03-28,61.9,47.05
2007-03-27,61.95,47.15
2007-03-26,62.88,47.28
2007-03-23,63.08,47.18
2007-03-22,63.1,47.38
2007-03-21,63.16,47.39
2007-03-20,62.4,46.76
2007-03-19,61.85,46.48
2007-03-16,61.58,46.36
2007-03-15,61.99,46.23
2007-03-14,61.7,46.19
2007-03-13,61.18,46.21
2007-03-12,62.17,46.75
2007-03-09,61.89,46.38
2007-03-08,62.05,45.97
2007-03-07,61.76,45.58
2007-03-06,61.96,45.76
2007-03-05,61.48,45.13
2007-03-02,61.64,44.74
2007-03-01,62.13,45.36
2007-02-28,61.86,45.51
2007-02-27,61.47,45.23
2007-02-26,63.17,46.53
2007-02-23,63.26,46.08
2007-02-22,63.34,46.12
2007-02-21,63.69,46.38
2007-02-20,63.29,46.59
2007-02-16,63.3,46.67
2007-02-15,62.77,46.65
2007-02-14,62.05,46.68
2007-02-13,62.5,47.0
2007-02-12,62.41,46.72
2007-02-09,62.6,46.57
2007-02-08,62.01,46.66
2007-02-07,63.18,46.83
2007-02-06,63.07,46.85
2007-02-05,63.5,46.7
2007-02-02,63.71,47.03
2007-02-01,64.04,46.9
2007-01-31,63.9,46.68
2007-01-30,63.76,46.61
2007-01-29,63.28,46.52
2007-01-26,63.13,46.63
2007-01-25,63.1,46.74
2007-01-24,63.86,46.93
2007-01-23,63.51,46.92
2007-01-22,63.48,46.83
2007-01-19,63.49,47.05
2007-01-18,63.59,47.14
2007-01-17,63.67,47.38
2007-01-16,63.52,47.29
2007-01-12,63.37,47.34
2007-01-11,63.62,47.52
2007-01-10,62.84,47.46
2007-01-09,62.05,47.39
2007-01-08,61.8,47.36
2007-01-05,61.66,47.05
2007-01-04,61.86,47.38
2007-01-03,61.44,47.37
2006-12-29,61.27,47.04
2006-12-28,61.95,47.33
2006-12-27,61.6,47.47
2006-12-26,61.55,47.34
2006-12-22,61.81,47.17
2006-12-21,62.09,47.44
2006-12-20,62.0,47.53
2006-12-19,61.98,47.55
2006-12-18,61.78,47.68
2006-12-15,61.58,47.71
2006-12-14,61.22,47.77
2006-12-13,61.47,47.62
2006-12-12,61.56,47.68
2006-12-11,61.47,47.59
2006-12-08,61.97,47.69
2006-12-07,62.12,47.5
2006-12-06,62.4,47.17
2006-12-05,62.56,46.8
2006-12-04,61.3,45.66
2006-12-01,60.41,45.41
2006-11-30,60.42,45.66
2006-11-29,60.9,45.47
2006-11-28,60.27,45.21
2006-11-27,59.96,45.08
2006-11-24,60.78,45.44
2006-11-22,60.97,45.62
2006-11-21,60.99,45.51
2006-11-20,60.93,45.56
2006-11-17,60.72,45.77
2006-11-16,60.25,45.66
2006-11-15,59.7,45.18
2006-11-14,60.39,45.08
2006-11-13,59.87,44.95
2006-11-10,60.98,45.01
2006-11-09,61.12,45.18
2006-11-08,61.94,45.4
2006-11-07,61.81,45.44
2006-11-06,61.69,45.34
2006-11-03,61.65,45.04
2006-11-02,61.63,45.24
2006-11-01,61.76,45.17
2006-10-31,61.85,45.25
2006-10-30,61.94,45.29
2006-10-27,61.95,45.39
2006-10-26,62.22,45.66
2006-10-25,62.04,45.7
2006-10-24,61.62,45.55
2006-10-23,61.6,45.79
2006-10-20,61.24,45.28
2006-10-19,61.25,43.5
2006-10-18,61.61,42.58
2006-10-17,60.81,42.41
2006-10-16,61.11,42.86
2006-10-13,60.88,42.63
2006-10-12,61.27,42.66
2006-10-11,62.26,42.73
2006-10-10,61.82,42.67
2006-10-09,62.12,43.02
2006-10-06,62.81,43.35
2006-10-05,63.16,43.42
2006-10-04,63.28,43.39
2006-10-03,63.04,43.16
2006-10-02,62.72,43.1
2006-09-29,63.62,43.27
2006-09-28,63.66,43.53
2006-09-27,64.26,43.3
2006-09-26,63.79,43.23
2006-09-25,63.44,43.0
2006-09-22,62.67,42.61
2006-09-21,62.99,42.81
2006-09-20,63.49,43.05
2006-09-19,63.15,42.98
2006-09-18,62.86,43.04
2006-09-15,63.4,43.2
2006-09-14,62.93,43.18
2006-09-13,63.02,43.21
2006-09-12,63.57,43.07
2006-09-11,63.1,42.85
2006-09-08,63.11,42.9
2006-09-07,62.61,42.79
2006-09-06,63.3,42.99
2006-09-05,63.27,43.26
2006-09-01,63.48,43.35
2006-08-31,63.35,43.1
2006-08-30,63.7,43.24
2006-08-29,63.87,43.42
2006-08-28,63.08,43.0
2006-08-25,62.28,42.82
2006-08-24,62.24,42.81
2006-08-23,62.18,42.63
2006-08-22,61.86,42.71
2006-08-21,61.43,42.5
2006-08-18,61.15,42.62
2006-08-17,60.81,42.49
2006-08-16,61.42,42.64
2006-08-15,61.71,42.63
2006-08-14,62.06,42.31
2006-08-11,61.46,42.09
2006-08-10,61.33,42.22
2006-08-09,60.98,42.08
2006-08-08,61.74,42.14
2006-08-07,61.29,41.94
2006-08-04,61.3,42.18
2006-08-03,60.98,42.34
2006-08-02,61.33,42.62
2006-08-01,61.3,42.62
2006-07-31,61.51,42.8
2006-07-28,61.26,42.82
2006-07-27,60.64,42.62
2006-07-26,61.75,42.75
2006-07-25,60.87,42.56
2006-07-24,61.48,42.32
2006-07-21,60.91,42.22
2006-07-20,60.63,42.17
2006-07-19,60.82,42.15
2006-07-18,61.34,41.89
2006-07-17,60.44,41.07
2006-07-14,59.97,41.02
2006-07-13,60.24,41.45
2006-07-12,59.29,41.91
2006-07-11,59.77,42.14
2006-07-10,59.15,41.96
2006-07-07,58.67,41.53
2006-07-06,58.58,41.68
2006-07-05,58.49,41.38
2006-07-03,58.49,41.71
2006-06-30,58.27,41.38
2006-06-29,57.74,41.42
2006-06-28,57.17,40.8
2006-06-27,57.36,40.89
2006-06-26,57.75,41.19
2006-06-23,57.73,41.12
2006-06-22,58.25,41.23
2006-06-21,57.85,41.37
2006-06-20,57.54,41.17
2006-06-19,57.56,41.29
2006-06-16,57.94,41.56
2006-06-15,57.33,41.4
2006-06-14,57.12,41.18
2006-06-13,57.25,41.27
2006-06-12,57.96,41.36
2006-06-09,58.16,41.59
2006-06-08,58.35,41.43
2006-06-07,58.52,41.42
2006-06-06,58.44,41.54
2006-06-05,57.7,41.47
2006-06-02,58.59,41.91
2006-06-01,59.0,41.94
2006-05-31,58.38,42.05
2006-05-30,58.34,41.7
2006-05-26,58.58,42.48
2006-05-25,58.48,42.37
2006-05-24,58.29,42.05
2006-05-23,57.68,41.62
2006-05-22,57.23,41.63
2006-05-19,56.59,41.68
2006-05-18,56.67,41.59
2006-05-17,57.6,41.59
2006-05-16,57.61,41.86
2006-05-15,57.66,41.96
2006-05-12,56.62,41.23
2006-05-11,56.34,41.42
2006-05-10,56.82,41.62
2006-05-09,56.69,41.7
2006-05-08,56.88,41.42
2006-05-05,57.15,40.78
2006-05-04,56.72,40.18
2006-05-03,56.44,40.03
2006-05-02,55.96,40.34
2006-05-01,56.17,40.08
2006-04-28,56.24,40.07
2006-04-27,56.08,40.15
2006-04-26,55.87,39.84
2006-04-25,55.52,39.49
2006-04-24,55.3,39.69
2006-04-21,55.23,39.96
2006-04-20,55.33,39.93
2006-04-19,56.08,39.81
2006-04-18,56.08,39.44
2006-04-17,55.42,39.19
2006-04-13,55.88,39.4
2006-04-12,55.89,39.3
2006-04-11,55.82,39.43
2006-04-10,56.09,39.61
2006-04-07,55.81,39.49
2006-04-06,56.03,39.81
2006-04-05,55.9,40.06
2006-04-04,55.82,40.18
2006-04-03,55.86,39.98
2006-03-31,55.8,39.98
2006-03-30,56.11,40.22
2006-03-29,56.4,40.26
2006-03-28,56.43,40.26
2006-03-27,56.96,40.48
2006-03-24,57.3,40.74
2006-03-23,57.1,40.5
2006-03-22,57.76,40.84
2006-03-21,57.48,40.82
2006-03-20,57.8,40.96
2006-03-17,58.0,40.86
2006-03-16,57.84,40.77
2006-03-15,58.0,40.8
2006-03-14,58.35,40.86
2006-03-13,58.41,40.57
2006-03-10,58.27,40.55
2006-03-09,57.94,40.2
2006-03-08,57.76,40.03
2006-03-07,57.46,39.63
2006-03-06,57.38,39.77
2006-03-03,57.19,39.63
2006-03-02,56.99,39.73
2006-03-01,56.97,40.11
2006-02-28,56.83,39.79
2006-02-27,57.22,40.32
2006-02-24,57.24,40.03
2006-02-23,57.36,39.84
2006-02-22,56.72,39.89
2006-02-21,56.57,39.67
2006-02-17,56.65,39.62
2006-02-16,56.44,39.43
2006-02-15,55.65,39.19
2006-02-14,55.72,39.19
2006-02-13,55.38,38.62
2006-02-10,55.7,39.02
2006-02-09,55.48,38.87
2006-02-08,55.07,39.09
2006-02-07,54.67,38.9
2006-02-06,54.58,38.81
2006-02-03,55.13,38.75
2006-02-02,55.23,39.09
2006-02-01,55.06,39.34
2006-01-31,54.97,39.23
2006-01-30,55.42,39.58
2006-01-27,55.96,39.79
2006-01-26,55.19,39.32
2006-01-25,55.42,39.0
2006-01-24,55.8,38.77
2006-01-23,55.28,38.39
2006-01-20,55.07,38.01
2006-01-19,56.08,38.8
2006-01-18,56.14,38.7
2006-01-17,56.18,38.9
2006-01-13,56.44,39.16
2006-01-12,56.57,39.29
2006-01-11,56.59,39.5
2006-01-10,56.82,39.48
2006-01-09,57.01,39.45
2006-01-06,57.3,39.26
2006-01-05,57.09,38.89
2006-01-04,57.43,38.7
2006-01-03,57.46,38.77
2005-12-30,56.8,38.21
2005-12-29,57.24,38.49
2005-12-28,57.04,38.66
2005-12-27,56.91,38.84
2005-12-23,56.93,39.01
2005-12-22,56.94,39.13
2005-12-21,56.96,39.07
2005-12-20,56.89,39.08
2005-12-19,57.24,39.27
2005-12-16,57.51,39.07
2005-12-15,57.3,39.02
2005-12-14,56.97,38.95
2005-12-13,56.7,38.83
2005-12-12,57.02,39.01
2005-12-09,56.72,39.35
2005-12-08,56.79,39.7
2005-12-07,56.94,40.01
2005-12-06,57.16,40.33
2005-12-05,57.3,40.43
2005-12-02,57.34,40.59
2005-12-01,57.3,40.61
2005-11-30,56.67,40.47
2005-11-29,57.21,40.81
2005-11-28,57.07,40.29
2005-11-25,57.34,40.31
2005-11-23,57.05,40.17
2005-11-22,56.83,39.88
2005-11-21,55.9,39.7
2005-11-18,56.02,39.74
2005-11-17,55.75,39.43
2005-11-16,56.17,39.69
2005-11-15,56.19,39.99
2005-11-14,56.09,40.1
2005-11-11,56.19,40.27
2005-11-10,56.37,40.05
2005-11-09,55.81,39.73
2005-11-08,55.81,39.69
2005-11-07,56.06,39.94
2005-11-04,56.09,39.84
2005-11-03,56.53,40.1
2005-11-02,56.45,40.07
2005-11-01,56.06,40.17
2005-10-31,56.55,40.29
2005-10-28,56.31,40.34
2005-10-27,55.78,39.7
2005-10-26,55.09,39.88
2005-10-25,55.52,39.99
2005-10-24,55.48,39.93
2005-10-21,55.13,39.49
2005-10-20,55.2,39.65
2005-10-19,55.64,39.37
2005-10-18,55.83,39.32
2005-10-17,55.29,39.64
2005-10-14,55.05,39.62
2005-10-13,55.01,39.29
2005-10-12,55.24,39.29
2005-10-11,54.69,39.24
2005-10-10,54.85,39.54
2005-10-07,55.01,39.74
2005-10-06,55.48,40.22
2005-10-05,54.8,40.14
2005-10-04,54.11,40.54
2005-10-03,54.09,40.7
2005-09-30,54.29,40.68
2005-09-29,54.08,40.59
2005-09-28,52.71,40.38
2005-09-27,52.75,39.87
2005-09-26,52.03,39.9
2005-09-23,52.18,39.89
2005-09-22,51.84,39.76
2005-09-21,51.71,39.79
2005-09-20,52.46,40.4
2005-09-19,53.06,40.84
2005-09-16,53.61,40.87
2005-09-15,53.31,41.09
2005-09-14,52.98,40.99
2005-09-13,53.09,41.12
2005-09-12,53.06,41.41
2005-09-09,52.87,41.22
2005-09-08,52.75,41.44
2005-09-07,53.08,41.79
2005-09-06,52.58,41.66
2005-09-02,52.07,41.08
2005-09-01,52.35,41.06
2005-08-31,52.26,41.18
2005-08-30,52.21,40.61
2005-08-29,52.22,41.18
2005-08-26,51.74,40.77
2005-08-25,51.93,41.0
2005-08-24,51.75,41.02
2005-08-23,52.31,41.35
2005-08-22,52.45,41.43
2005-08-19,52.34,41.54
2005-08-18,52.0,40.74
2005-08-17,52.14,40.53
2005-08-16,52.2,40.52
2005-08-15,52.35,40.75
2005-08-12,52.03,40.78
2005-08-11,52.12,41.28
2005-08-10,51.81,41.08
2005-08-09,51.69,41.27
2005-08-08,51.35,40.87
2005-08-05,51.82,41.23
2005-08-04,52.11,41.51
2005-08-03,52.11,41.8
2005-08-02,52.25,41.44
2005-08-01,52.03,41.06
2005-07-29,51.95,40.95
2005-07-28,52.33,41.54
2005-07-27,52.16,41.19
2005-07-26,51.9,40.89
2005-07-25,51.99,40.85
2005-07-22,52.24,41.21
2005-07-21,52.1,41.13
2005-07-20,52.02,40.55
2005-07-19,52.92,40.55
2005-07-18,52.06,40.18
2005-07-15,52.83,40.32
2005-07-14,52.82,40.41
2005-07-13,52.28,40.18
2005-07-12,52.02,40.07
2005-07-11,51.31,40.03
2005-07-08,51.0,39.99
2005-07-07,50.29,39.08
2005-07-06,50.1,39.26
2005-07-05,51.02,39.68
2005-07-01,50.98,39.5
2005-06-30,51.38,39.07
2005-06-29,51.86,39.96
2005-06-28,52.24,40.12
2005-06-27,51.71,39.61
2005-06-24,51.71,39.49
2005-06-23,52.28,40.31
2005-06-22,52.61,40.64
2005-06-21,53.23,40.88
2005-06-20,53.35,41.09
2005-06-17,53.12,41.22
2005-06-16,53.39,40.97
2005-06-15,53.16,40.84
2005-06-14,52.92,40.92
2005-06-13,52.94,40.79
2005-06-10,52.9,40.87
2005-06-09,52.88,40.59
2005-06-08,52.86,40.82
2005-06-07,53.01,41.02
2005-06-06,52.89,40.89
2005-06-03,53.11,41.13
2005-06-02,53.96,41.64
2005-06-01,53.88,41.46
2005-05-31,53.35,41.5
2005-05-27,53.67,41.78
2005-05-26,54.06,41.74
2005-05-25,54.05,41.75
2005-05-24,53.84,41.86
2005-05-23,53.81,41.82
2005-05-20,54.17,41.89
2005-05-19,54.08,42.08
2005-05-18,53.76,41.77
2005-05-17,53.38,41.29
2005-05-16,53.73,41.16
2005-05-13,53.51,41.02
2005-05-12,53.75,41.07
2005-05-11,53.99,41.17
2005-05-10,53.46,41.13
2005-05-09,53.46,41.44
2005-05-06,53.14,41.09
2005-05-05,53.52,41.05
2005-05-04,53.69,40.85
2005-05-03,53.03,40.69
2005-05-02,53.02,40.51
2005-04-29,52.76,40.39
2005-04-28,52.25,39.7
2005-04-27,52.38,39.82
2005-04-26,52.35,39.95
2005-04-25,52.29,39.69
2005-04-22,51.65,39.18
2005-04-21,51.88,39.04
2005-04-20,51.36,38.94
2005-04-19,51.68,39.43
2005-04-18,51.67,38.1
2005-04-15,52.0,38.39
2005-04-14,52.29,39.12
2005-04-13,50.86,39.15
2005-04-12,50.87,39.36
2005-04-11,50.36,38.93
2005-04-08,50.34,39.15
2005-04-07,50.66,39.17
2005-04-06,50.17,38.79
2005-04-05,50.26,38.92
2005-04-04,50.01,38.56
2005-04-01,50.03,38.48
2005-03-31,50.29,38.75
2005-03-30,50.6,39.01
2005-03-29,49.59,38.49
2005-03-28,49.64,38.24
2005-03-24,49.24,38.31
2005-03-23,49.32,38.29
2005-03-22,49.41,38.5
2005-03-21,49.84,38.68
2005-03-18,49.9,38.55
2005-03-17,49.6,39.05
2005-03-16,49.45,39.0
2005-03-15,49.8,39.28
2005-03-14,50.0,39.37
2005-03-11,49.98,39.5
2005-03-10,50.4,39.79
2005-03-09,50.23,39.92
2005-03-08,50.84,40.11
2005-03-07,51.19,40.39
2005-03-04,50.95,40.32
2005-03-03,51.02,39.89
2005-03-02,51.0,39.76
2005-03-01,51.05,39.97
2005-02-28,50.86,39.54
2005-02-25,50.96,39.74
2005-02-24,50.66,39.41
2005-02-23,50.45,39.34
2005-02-22,50.22,39.53
2005-02-18,51.18,39.69
2005-02-17,50.73,39.72
2005-02-16,51.5,40.0
2005-02-15,51.59,39.4
2005-02-14,51.75,39.6
2005-02-11,52.03,39.5
2005-02-10,52.09,39.26
2005-02-09,51.92,39.5
2005-02-08,52.41,39.4
2005-02-07,51.65,39.25
2005-02-04,52.23,39.24
2005-02-03,51.3,38.56
2005-02-02,51.12,38.73
2005-02-01,50.88,38.27
2005-01-31,50.71,38.33
2005-01-28,50.25,38.33
2005-01-27,50.48,38.58
2005-01-26,50.43,38.51
2005-01-25,50.41,38.1
2005-01-24,50.34,37.84
2005-01-21,50.58,37.79
2005-01-20,50.56,38.18
2005-01-19,51.02,37.97
2005-01-18,50.51,38.11
2005-01-14,49.89,37.85
2005-01-13,49.97,37.64
2005-01-12,50.62,38.03
2005-01-11,50.49,38.03
2005-01-10,50.76,38.24
2005-01-07,49.53,38.03
2005-01-06,49.1,37.98
2005-01-05,48.75,37.66
2005-01-04,48.7,37.84
2005-01-03,49.04,38.38
2004-12-31,49.29,38.47
2004-12-30,49.34,38.48
2004-12-29,49.34,38.39
2004-12-28,49.56,38.66
2004-12-27,49.09,38.48
2004-12-23,49.04,38.35
2004-12-22,49.26,38.41
2004-12-21,49.2,37.88
2004-12-20,48.84,37.83
2004-12-17,49.11,37.83
2004-12-16,49.4,38.0
2004-12-15,49.8,38.31
2004-12-14,48.88,38.15
2004-12-13,48.83,37.75
2004-12-10,48.36,37.44
2004-12-09,48.71,37.7
2004-12-08,48.24,37.31
2004-12-07,47.46,37.1
2004-12-06,47.72,37.31
2004-12-03,48.02,37.61
2004-12-02,48.36,37.34
2004-12-01,47.77,36.74
2004-11-30,46.91,36.32
2004-11-29,47.42,36.69
2004-11-26,48.19,36.59
2004-11-24,48.17,36.54
2004-11-23,48.28,36.46
2004-11-22,48.14,36.6
2004-11-19,47.8,36.47
2004-11-18,48.15,36.98
2004-11-17,48.21,36.98
2004-11-16,48.17,36.95
2004-11-15,48.81,37.25
2004-11-12,49.08,37.45
2004-11-11,48.45,37.6
2004-11-10,48.24,37.8
2004-11-09,47.96,37.86
2004-11-08,47.82,37.9
2004-11-05,48.13,38.01
2004-11-04,48.14,37.97
2004-11-03,47.13,37.5
2004-11-02,46.66,37.32
2004-11-01,46.34,37.21
2004-10-29,46.6,37.33
2004-10-28,46.57,37.17
2004-10-27,46.67,37.12
2004-10-26,45.54,36.08
2004-10-25,45.33,35.48
2004-10-22,45.57,35.71
2004-10-21,45.93,36.24
2004-10-20,45.9,36.22
2004-10-19,46.25,36.15
2004-10-18,46.05,36.02
2004-10-15,45.4,35.99
2004-10-14,44.98,35.94
2004-10-13,45.16,36.16
2004-10-12,45.39,36.52
2004-10-11,45.8,36.73
2004-10-08,45.87,36.72
2004-10-07,46.07,36.83
2004-10-06,46.34,37.55
2004-10-05,46.39,37.31
2004-10-04,46.75,37.41
2004-10-01,47.07,37.01
2004-09-30,45.73,36.77
2004-09-29,45.21,36.73
2004-09-28,45.21,36.71
2004-09-27,45.15,36.38
2004-09-24,45.42,36.71
2004-09-23,45.61,36.74
2004-09-22,45.77,37.11
2004-09-21,46.0,37.39
2004-09-20,46.21,37.13
2004-09-17,46.72,37.0
2004-09-16,46.03,36.76
2004-09-15,46.53,37.79
2004-09-14,47.5,39.36
2004-09-13,47.64,39.29
2004-09-10,47.31,39.21
2004-09-09,47.28,39.71
2004-09-08,46.72,39.66
2004-09-07,47.77,41.66
2004-09-03,47.57,41.52
2004-09-02,47.37,41.43
2004-09-01,46.54,40.74
2004-08-31,46.79,40.81
2004-08-30,46.2,40.48
2004-08-27,46.1,40.82
2004-08-26,46.23,40.58
2004-08-25,45.85,40.47
2004-08-24,46.2,40.18
2004-08-23,46.67,40.47
2004-08-20,46.78,40.35
2004-08-19,46.95,40.18
2004-08-18,47.04,40.68
2004-08-17,47.09,40.46
2004-08-16,47.61,40.63
2004-08-13,47.62,40.5
2004-08-12,47.84,40.01
2004-08-11,48.44,40.57
2004-08-10,47.81,39.67
2004-08-09,47.53,39.45
2004-08-06,47.58,39.7
2004-08-05,48.2,40.02
2004-08-04,48.62,40.34
2004-08-03,47.91,40.26
2004-08-02,47.8,40.35
2004-07-30,46.79,40.03
2004-07-29,46.69,39.3
2004-07-28,47.9,39.87
2004-07-27,47.72,39.93
2004-07-26,48.24,40.43
2004-07-23,47.6,41.23
2004-07-22,47.28,44.69
2004-07-21,47.83,44.9
2004-07-20,48.34,45.71
2004-07-19,48.79,45.95
2004-07-16,48.94,46.16
2004-07-15,48.58,46.4
2004-07-14,49.98,46.69
2004-07-13,49.76,46.24
2004-07-12,49.66,46.39
2004-07-09,49.64,46.57
2004-07-08,49.76,46.15
2004-07-07,49.93,46.02
2004-07-06,50.06,46.24
2004-07-02,49.82,46.12
2004-07-01,50.11,45.96
2004-06-30,50.42,46.07
2004-06-29,50.25,46.13
2004-06-28,50.69,45.99
2004-06-25,50.53,45.73
2004-06-24,51.59,46.58
2004-06-23,51.92,46.82
2004-06-22,51.98,46.57
2004-06-21,51.37,46.7
2004-06-18,51.46,46.9
2004-06-17,51.41,46.63
2004-06-16,51.67,46.72
2004-06-15,51.63,46.76
2004-06-14,51.15,46.89
2004-06-10,51.42,46.89
2004-06-09,51.09,47.01
2004-06-08,51.2,47.78
2004-06-07,50.94,47.88
2004-06-04,50.63,47.48
2004-06-03,50.29,47.02
2004-06-02,50.56,47.18
2004-06-01,49.81,46.39
2004-05-28,49.73,46.64
2004-05-27,49.88,46.61
2004-05-26,49.67,45.61
2004-05-25,50.15,45.77
2004-05-24,49.78,45.26
2004-05-21,49.81,44.85
2004-05-20,50.13,45.08
2004-05-19,49.29,44.83
2004-05-18,49.62,45.5
2004-05-17,49.87,45.24
2004-05-14,50.08,45.41
2004-05-13,49.53,45.06
2004-05-12,49.98,45.34
2004-05-11,50.11,45.46
2004-05-10,50.13,45.35
2004-05-07,50.65,46.09
