DATE,A4102C1A027NBEA,GDP,CMDEBT,NCBDBIQ027S,POPTOTUSA647NWDB,LNS11300060
1980-04-01,,2799.938,1348.83,431388.0,,78.7
1980-05-01,,,,,,78.6
1980-06-01,,,,,,78.5
1980-07-01,,2860.044,1378.36,437306.0,,78.6
1980-08-01,,,,,,78.6
1980-09-01,,,,,,78.7
1980-10-01,,2993.525,1413.83,439488.0,,78.7
1980-11-01,,,,,,78.7
1980-12-01,,,,,,78.8
1981-01-01,1511.529,3131.799,1441.42,452370.0,229466000.0,79.0
1981-02-01,,,,,,79.0
1981-03-01,,,,,,79.3
1981-04-01,,3167.251,1473.3,469953.0,,79.4
1981-05-01,,,,,,79.6
1981-06-01,,,,,,79.3
1981-07-01,,3261.203,1497.33,483822.0,,79.2
1981-08-01,,,,,,79.2
1981-09-01,,,,,,79.0
1981-10-01,,3283.536,1521.19,492376.0,,79.4
1981-11-01,,,,,,79.6
1981-12-01,,,,,,79.4
1982-01-01,1587.709,3273.809,1543.32,511040.0,231664000.0,79.4
1982-02-01,,,,,,79.6
1982-03-01,,,,,,79.6
1982-04-01,,3331.281,1563.19,521369.0,,79.6
1982-05-01,,,,,,79.9
1982-06-01,,,,,,79.9
1982-07-01,,3367.072,1565.83,531636.0,,80.0
1982-08-01,,,,,,80.0
1982-09-01,,,,,,80.0
1982-10-01,,3407.81,1593.25,533077.0,,80.0
1982-11-01,,,,,,79.9
1982-12-01,,,,,,80.0
1983-01-01,1677.686,3480.321,1605.04,545301.0,233792000.0,79.8
1983-02-01,,,,,,79.6
1983-03-01,,,,,,79.7
1983-04-01,,3583.844,1646.84,556969.0,,79.9
1983-05-01,,,,,,79.9
1983-06-01,,,,,,80.2
1983-07-01,,3692.257,1696.41,565361.0,,80.2
1983-08-01,,,,,,80.4
1983-09-01,,,,,,80.5
1983-10-01,,3796.121,1754.01,567652.0,,80.2
1983-11-01,,,,,,80.2
1983-12-01,,,,,,80.3
1984-01-01,1845.126,3912.774,1811.95,583617.0,235825000.0,80.1
1984-02-01,,,,,,80.3
1984-03-01,,,,,,80.4
1984-04-01,,4015.0,1867.37,605223.0,,80.6
1984-05-01,,,,,,80.8
1984-06-01,,,,,,80.8
1984-07-01,,4087.378,1910.9,628268.0,,81.0
1984-08-01,,,,,,81.0
1984-09-01,,,,,,80.7
1984-10-01,,4147.606,1971.63,657987.0,,80.9
1984-11-01,,,,,,80.8
1984-12-01,,,,,,81.0
1985-01-01,1982.765,4237.01,2075.86,682669.0,237924000.0,81.3
1985-02-01,,,,,,81.2
1985-03-01,,,,,,81.4
1985-04-01,,4302.297,2138.13,715218.0,,81.5
1985-05-01,,,,,,81.2
1985-06-01,,,,,,81.3
1985-07-01,,4394.563,2217.15,739841.0,,81.3
1985-08-01,,,,,,81.4
1985-09-01,,,,,,81.8
1985-10-01,,4453.105,2322.66,777480.0,,81.6
1985-11-01,,,,,,81.6
1985-12-01,,,,,,81.7
1986-01-01,2104.117,4516.344,2379.14,807745.0,240133000.0,81.7
1986-02-01,,,,,,81.6
1986-03-01,,,,,,81.8
1986-04-01,,4555.245,2430.7,842883.0,,81.8
1986-05-01,,,,,,81.8
1986-06-01,,,,,,82.1
1986-07-01,,4619.627,2506.27,874104.0,,82.1
1986-08-01,,,,,,82.1
1986-09-01,,,,,,82.3
1986-10-01,,4669.396,2586.89,885353.0,,82.3
1986-11-01,,,,,,82.3
1986-12-01,,,,,,82.3
1987-01-01,2257.623,4736.231,2627.67,911433.0,242289000.0,82.2
1987-02-01,,,,,,82.3
1987-03-01,,,,,,82.4
1987-04-01,,4821.459,2703.28,932274.0,,82.5
1987-05-01,,,,,,82.6
1987-06-01,,,,,,82.5
1987-07-01,,4900.509,2767.71,952968.0,,82.6
1987-08-01,,,,,,82.6
1987-09-01,,,,,,82.6
1987-10-01,,5022.67,2793.06,974107.0,,82.7
1987-11-01,,,,,,82.6
1987-12-01,,,,,,82.7
1988-01-01,2440.649,5090.615,2870.9,998872.0,244499000.0,82.6
1988-02-01,,,,,,82.7
1988-03-01,,,,,,82.8
1988-04-01,,5207.707,2941.75,1034690.0,,82.8
1988-05-01,,,,,,82.8
1988-06-01,,,,,,82.6
1988-07-01,,5299.486,3007.81,1061889.0,,82.8
1988-08-01,,,,,,83.0
1988-09-01,,,,,,82.9
1988-10-01,,5412.713,3075.38,1089317.0,,83.0
1988-11-01,,,,,,83.3
1988-12-01,,,,,,83.2
1989-01-01,2584.336,5527.352,3138.37,1113576.0,246819000.0,83.5
1989-02-01,,,,,,83.4
1989-03-01,,,,,,83.3
1989-04-01,,5628.429,3207.53,1148350.0,,83.3
1989-05-01,,,,,,83.2
1989-06-01,,,,,,83.2
1989-07-01,,5711.556,3271.93,1166999.0,,83.3
1989-08-01,,,,,,83.3
1989-09-01,,,,,,83.6
1989-10-01,,5763.444,3343.23,1183681.0,,83.5
1989-11-01,,,,,,83.8
1989-12-01,,,,,,83.7
1990-01-01,2743.506,5890.835,3432.9,1208939.0,249623000.0,83.8
1990-02-01,,,,,,83.8
1990-03-01,,,,,,83.6
1990-04-01,,5974.665,3491.89,1228355.0,,83.5
1990-05-01,,,,,,83.5
1990-06-01,,,,,,83.4
1990-07-01,,6029.504,3551.53,1238704.0,,83.4
1990-08-01,,,,,,83.4
1990-09-01,,,,,,83.4
1990-10-01,,6023.332,3602.26,1240172.0,,83.4
1990-11-01,,,,,,83.5
1990-12-01,,,,,,83.4
1991-01-01,2817.229,6054.867,3649.33,1262042.0,252981000.0,83.2
1991-02-01,,,,,,83.5
1991-03-01,,,,,,83.4
1991-04-01,,6143.612,3706.5,1286441.0,,83.7
1991-05-01,,,,,,83.4
1991-06-01,,,,,,83.4
1991-07-01,,6218.425,3745.63,1294169.0,,83.3
1991-08-01,,,,,,83.4
1991-09-01,,,,,,83.4
1991-10-01,,6279.296,3805.94,1299396.0,,83.4
1991-11-01,,,,,,83.4
1991-12-01,,,,,,83.2
1992-01-01,2968.506,6380.798,3856.13,1330818.0,256514000.0,83.5
1992-02-01,,,,,,83.4
1992-03-01,,,,,,83.5
1992-04-01,,6492.299,3894.53,1352584.0,,83.7
1992-05-01,,,,,,83.8
1992-06-01,,,,,,83.9
1992-07-01,,6586.548,3942.97,1365248.0,,83.8
1992-08-01,,,,,,83.8
1992-09-01,,,,,,83.6
1992-10-01,,6697.553,4008.77,1379895.0,,83.5
1992-11-01,,,,,,83.5
1992-12-01,,,,,,83.4
1993-01-01,3082.66,6748.182,4054.36,1445589.0,259919000.0,83.3
1993-02-01,,,,,,83.1
1993-03-01,,,,,,83.2
1993-04-01,,6829.594,4114.95,1503576.0,,83.2
1993-05-01,,,,,,83.4
1993-06-01,,,,,,83.6
1993-07-01,,6904.222,4194.22,1548852.0,,83.5
1993-08-01,,,,,,83.5
1993-09-01,,,,,,83.4
1993-10-01,,7032.844,4273.53,1580574.0,,83.5
1993-11-01,,,,,,83.6
1993-12-01,,,,,,83.6
1994-01-01,3240.604,7136.259,4345.42,1630903.0,263126000.0,83.4
1994-02-01,,,,,,83.5
1994-03-01,,,,,,83.3
1994-04-01,,7269.847,4419.06,1661478.0,,83.2
1994-05-01,,,,,,83.3
1994-06-01,,,,,,82.9
1994-07-01,,7352.255,4493.98,1679354.0,,83.2
1994-08-01,,,,,,83.3
1994-09-01,,,,,,83.6
1994-10-01,,7476.661,4596.18,1699387.0,,83.5
1994-11-01,,,,,,83.6
1994-12-01,,,,,,83.5
1995-01-01,3422.112,7545.296,4669.09,1722105.0,266278000.0,83.5
1995-02-01,,,,,,83.6
1995-03-01,,,,,,83.5
1995-04-01,,7604.923,4750.34,1762049.0,,83.7
1995-05-01,,,,,,83.5
1995-06-01,,,,,,83.3
1995-07-01,,7706.531,4846.99,1772916.0,,83.4
1995-08-01,,,,,,83.3
1995-09-01,,,,,,83.5
1995-10-01,,7799.493,4919.64,1786460.0,,83.4
1995-11-01,,,,,,83.5
1995-12-01,,,,,,83.4
1996-01-01,3620.594,7893.146,5036.66,1826394.0,269394000.0,83.5
1996-02-01,,,,,,83.5
1996-03-01,,,,,,83.5
1996-04-01,,8061.535,5121.86,1861633.0,,83.6
1996-05-01,,,,,,83.7
1996-06-01,,,,,,83.6
1996-07-01,,8159.043,5195.86,1868676.0,,83.9
1996-08-01,,,,,,84.0
1996-09-01,,,,,,83.9
1996-10-01,,8287.078,5272.22,1876913.0,,84.1
1996-11-01,,,,,,84.1
1996-12-01,,,,,,84.1
1997-01-01,3881.246,8402.06,5363.41,1918050.0,272657000.0,84.0
1997-02-01,,,,,,83.9
1997-03-01,,,,,,84.0
1997-04-01,,8551.94,5448.61,1965299.0,,84.0
1997-05-01,,,,,,83.8
1997-06-01,,,,,,84.1
1997-07-01,,8691.756,5539.05,2015956.0,,84.3
1997-08-01,,,,,,84.5
1997-09-01,,,,,,84.3
1997-10-01,,8788.32,5616.31,2021746.0,,84.2
1997-11-01,,,,,,84.0
1997-12-01,,,,,,84.1
1998-01-01,4186.179,8889.732,5727.45,2119973.0,275854000.0,84.0
1998-02-01,,,,,,84.1
1998-03-01,,,,,,84.2
1998-04-01,,8994.738,5852.52,2203948.0,,83.9
1998-05-01,,,,,,83.9
1998-06-01,,,,,,84.0
1998-07-01,,9146.521,5931.77,2246756.0,,84.1
1998-08-01,,,,,,84.1
1998-09-01,,,,,,84.2
1998-10-01,,9325.65,6050.29,2259607.0,,84.1
1998-11-01,,,,,,84.1
1998-12-01,,,,,,84.2
1999-01-01,4465.176,9447.103,6188.63,2341630.0,279040000.0,84.6
1999-02-01,,,,,,84.4
1999-03-01,,,,,,84.0
1999-04-01,,9557.005,6321.99,2412289.0,,84.1
1999-05-01,,,,,,84.1
1999-06-01,,,,,,84.1
1999-07-01,,9712.28,6460.53,2490867.0,,83.9
1999-08-01,,,,,,84.0
1999-09-01,,,,,,84.0
1999-10-01,,9926.101,6600.0,2508704.0,,84.1
1999-11-01,,,,,,84.2
1999-12-01,,,,,,84.0
2000-01-01,4832.43,10031.031,6785.77,2584392.0,282162411.0,84.4
2000-02-01,,,,,,84.4
2000-03-01,,,,,,84.3
2000-04-01,,10278.34,6916.89,2653616.0,,84.4
2000-05-01,,,,,,84.1
2000-06-01,,,,,,84.1
2000-07-01,,10357.445,7088.03,2707431.0,,83.9
2000-08-01,,,,,,83.8
2000-09-01,,,,,,83.7
2000-10-01,,10472.285,7191.12,2709232.0,,83.6
2000-11-01,,,,,,83.8
2000-12-01,,,,,,83.9
2001-01-01,4961.641,10508.121,7300.77,2768997.0,284968955.0,84.1
2001-02-01,,,,,,84.1
2001-03-01,,,,,,84.1
2001-04-01,,10638.384,7482.21,2843113.0,,83.7
2001-05-01,,,,,,83.8
2001-06-01,,,,,,83.6
2001-07-01,,10639.486,7722.76,2861339.0,,83.6
2001-08-01,,,,,,83.5
2001-09-01,,,,,,83.5
2001-10-01,,10701.317,7819.85,2903136.0,,83.6
2001-11-01,,,,,,83.5
2001-12-01,,,,,,83.7
2002-01-01,5004.21,10834.445,8006.76,2935920.0,287625193.0,83.5
2002-02-01,,,,,,83.7
2002-03-01,,,,,,83.5
2002-04-01,,10934.752,8154.9,2948617.0,,83.6
2002-05-01,,,,,,83.6
2002-06-01,,,,,,83.2
2002-07-01,,11037.057,8337.98,2929346.0,,83.1
2002-08-01,,,,,,83.2
2002-09-01,,,,,,83.3
2002-10-01,,11103.834,8581.58,2924569.0,,83.2
2002-11-01,,,,,,82.9
2002-12-01,,,,,,83.1
2003-01-01,5146.089,11230.078,8815.44,2940536.0,290107933.0,82.9
2003-02-01,,,,,,83.0
2003-03-01,,,,,,83.1
2003-04-01,,11370.653,9159.37,2959432.0,,83.2
2003-05-01,,,,,,83.1
2003-06-01,,,,,,83.3
2003-07-01,,11625.137,9405.6,2990297.0,,83.0
2003-08-01,,,,,,83.0
2003-09-01,,,,,,82.8
2003-10-01,,11816.827,9653.22,2964235.0,,82.9
2003-11-01,,,,,,82.8
2003-12-01,,,,,,82.8
2004-01-01,5431.176,11988.403,9900.82,3026552.0,292805298.0,82.8
2004-02-01,,,,,,82.7
2004-03-01,,,,,,82.8
2004-04-01,,12181.398,10193.22,3011636.0,,82.7
2004-05-01,,,,,,82.8
2004-06-01,,,,,,82.9
2004-07-01,,12367.744,10444.14,3018623.0,,83.0
2004-08-01,,,,,,82.7
2004-09-01,,,,,,82.7
2004-10-01,,12562.163,10804.54,3004766.0,,82.6
2004-11-01,,,,,,82.7
2004-12-01,,,,,,82.6
2005-01-01,5703.075,12813.729,11050.03,3017153.0,295516599.0,82.7
2005-02-01,,,,,,82.8
2005-03-01,,,,,,82.6
2005-04-01,,12974.083,11378.1,3001787.0,,82.7
2005-05-01,,,,,,82.9
2005-06-01,,,,,,82.6
2005-07-01,,13205.445,11690.17,3021574.0,,82.8
2005-08-01,,,,,,82.9
2005-09-01,,,,,,82.9
2005-10-01,,13381.629,11976.07,2999991.0,,82.7
2005-11-01,,,,,,82.7
2005-12-01,,,,,,82.7
2006-01-01,6068.763,13648.904,12369.53,3030417.0,298379912.0,82.8
2006-02-01,,,,,,82.9
2006-03-01,,,,,,83.0
2006-04-01,,13799.794,12723.97,3080698.0,,82.8
2006-05-01,,,,,,82.8
2006-06-01,,,,,,82.8
2006-07-01,,13908.498,13003.22,3094210.0,,83.0
2006-08-01,,,,,,82.9
2006-09-01,,,,,,82.9
2006-10-01,,14066.37,13256.84,3149139.0,,82.9
2006-11-01,,,,,,83.0
2006-12-01,,,,,,83.1
2007-01-01,6405.673,14233.226,13461.7,3204003.0,301231207.0,83.4
2007-02-01,,,,,,83.2
2007-03-01,,,,,,83.2
2007-04-01,,14422.313,13777.14,3306082.0,,83.0
2007-05-01,,,,,,83.0
2007-06-01,,,,,,82.9
2007-07-01,,14569.675,13980.3,3307452.0,,82.9
2007-08-01,,,,,,82.9
2007-09-01,,,,,,82.8
2007-10-01,,14685.33,14174.99,3350299.0,,82.7
2007-11-01,,,,,,82.9
2007-12-01,,,,,,83.1
2008-01-01,6543.57,14668.445,14329.01,3400758.0,304093966.0,83.3
2008-02-01,,,,,,83.2
2008-03-01,,,,,,83.3
2008-04-01,,14812.974,14269.62,3496438.0,,83.1
2008-05-01,,,,,,83.1
2008-06-01,,,,,,83.1
2008-07-01,,14842.983,14363.26,3537036.0,,83.1
2008-08-01,,,,,,83.2
2008-09-01,,,,,,83.1
2008-10-01,,14549.949,14048.42,3540959.0,,83.0
2008-11-01,,,,,,83.0
2008-12-01,,,,,,82.8
2009-01-01,6260.078,14383.885,13896.64,3628626.0,306771529.0,82.8
2009-02-01,,,,,,82.8
2009-03-01,,,,,,82.6
2009-04-01,,14340.417,13888.26,3682592.0,,82.8
2009-05-01,,,,,,82.9
2009-06-01,,,,,,82.9
2009-07-01,,14384.145,13845.07,3699446.0,,82.8
2009-08-01,,,,,,82.8
2009-09-01,,,,,,82.5
2009-10-01,,14566.511,13812.93,3716850.0,,82.5
2009-11-01,,,,,,82.4
2009-12-01,,,,,,82.0
2010-01-01,6385.559,14681.063,13727.38,3796709.0,309348193.0,82.4
2010-02-01,,,,,,82.3
2010-03-01,,,,,,82.4
2010-04-01,,14888.6,13695.42,3822962.0,,82.6
2010-05-01,,,,,,82.3
2010-06-01,,,,,,82.2
2010-07-01,,15057.66,13632.1,3921873.0,,81.9
2010-08-01,,,,,,82.0
2010-09-01,,,,,,82.0
2010-10-01,,15230.208,13576.17,3952895.0,,81.8
2010-11-01,,,,,,82.0
2010-12-01,,,,,,81.9
2011-01-01,6641.241,15238.371,13573.64,4015366.0,311663358.0,81.7
2011-02-01,,,,,,81.6
2011-03-01,,,,,,81.7
2011-04-01,,15460.926,13497.82,4062455.0,,81.7
2011-05-01,,,,,,81.7
2011-06-01,,,,,,81.7
2011-07-01,,15587.125,13390.56,4126723.0,,81.4
2011-08-01,,,,,,81.6
2011-09-01,,,,,,81.5
2011-10-01,,15785.312,13382.41,4156916.0,,81.3
2011-11-01,,,,,,81.5
2011-12-01,,,,,,81.6
2012-01-01,6938.912,15973.881,13419.91,4255168.0,313998379.0,81.5
2012-02-01,,,,,,81.5
2012-03-01,,,,,,81.5
2012-04-01,,16121.851,13440.51,4320258.0,,81.4
2012-05-01,,,,,,81.4
2012-06-01,,,,,,81.5
2012-07-01,,16227.939,13381.56,4420472.0,,81.4
2012-08-01,,,,,,81.4
2012-09-01,,,,,,81.5
2012-10-01,,16297.349,13445.16,4508633.0,,81.6
2012-11-01,,,,,,81.2
2012-12-01,,,,,,81.4
2013-01-01,7126.099,16475.44,13464.82,4598664.0,316204908.0,81.1
2013-02-01,,,,,,81.0
2013-03-01,,,,,,81.0
2013-04-01,,16541.39,13468.86,4652954.0,,81.0
2013-05-01,,,,,,81.2
2013-06-01,,,,,,81.2
2013-07-01,,16749.349,13550.04,4781135.0,,81.2
2013-08-01,,,,,,81.0
2013-09-01,,,,,,81.0
2013-10-01,,16999.888,13597.49,4802701.0,,80.6
2013-11-01,,,,,,81.0
2013-12-01,,,,,,80.8
2014-01-01,7487.356,17031.324,13655.38,4910201.0,318563456.0,81.0
2014-02-01,,,,,,81.1
2014-03-01,,,,,,81.2
2014-04-01,,17320.921,13803.41,4977859.0,,80.8
2014-05-01,,,,,,80.7
2014-06-01,,,,,,81.0
2014-07-01,,17622.257,13883.94,5047385.0,,80.8
2014-08-01,,,,,,81.1
2014-09-01,,,,,,80.8
2014-10-01,,17735.933,13954.63,5113891.0,,80.9
2014-11-01,,,,,,80.9
2014-12-01,,,,,,80.9
2015-01-01,7870.624,17874.715,14016.78,5237851.0,320896618.0,81.0
2015-02-01,,,,,,80.9
2015-03-01,,,,,,80.8
2015-04-01,,18093.224,14137.74,5389450.0,,81.0
2015-05-01,,,,,,81.0
2015-06-01,,,,,,80.9
2015-07-01,,18227.689,14173.87,5494631.0,,80.7
2015-08-01,,,,,,80.7
2015-09-01,,,,,,80.6
2015-10-01,,18287.226,14218.1,5520086.0,,80.7
2015-11-01,,,,,,80.9
2015-12-01,,,,,,81.0
2016-01-01,8098.84,18325.187,14298.26,5663045.0,323127513.0,81.2
2016-02-01,,,,,,81.2
2016-03-01,,,,,,81.4
2016-04-01,,18538.039,14449.35,5745694.0,,81.2
2016-05-01,,,,,,81.1
2016-06-01,,,,,,81.3
2016-07-01,,18729.13,14542.51,5822117.0,,81.2
2016-08-01,,,,,,81.3
2016-09-01,,,,,,81.5
2016-10-01,,18905.545,14673.9,5810031.0,,81.6
2016-11-01,,,,,,81.3
2016-12-01,,,,,,81.4
2017-01-01,8353.453,19057.705,14802.46,5932129.0,,81.5
2017-02-01,,,,,,81.7
2017-03-01,,,,,,81.7
2017-04-01,,19250.009,14935.97,5995434.0,,81.7
2017-05-01,,,,,,81.6
2017-06-01,,,,,,81.6
2017-07-01,,19500.602,15067.46,6088065.0,,81.7
2017-08-01,,,,,,81.6
2017-09-01,,,,,,81.8
2017-10-01,,19738.887,,,,81.6
2017-11-01,,,,,,81.7
2017-12-01,,,,,,81.9
2018-01-01,,,,,,81.8
